Identifier	GC	ATGC	Percentage
GCF_000313045.1_ASM31304v1_genomic	1738108	3508068	.49546017
GCF_000313855.2_ASM31385v2_genomic	2839162	3918911	.72447728
GCF_000315295.1_Pbr_v1.0_genomic	2529806	8595228	.29432680
GCF_000317415.1_Csi_valencia_1.0_genomic	13870	433633	.03198557
GCF_000327365.1_Graimondii2_0_genomic	1124443	4750613	.23669429
GCF_000331145.1_ASM33114v1_genomic	1102742	2340415	.47117370
GCF_000340665.1_C.cajan_V1.0_genomic	627618	2014153	.31160393
GCF_000341285.1_ASM34128v1_genomic	2122543	5425381	.39122469
GCF_000346465.2_Prunus_persica_NCBIv2_genomic	579371	2266832	.25558621
GCF_000346735.1_P.mume_V1.0_genomic	3168930	9047443	.35025697
GCF_000350225.1_ASM35022v2_genomic	601226	1397137	.43032716
GCF_000365185.1_Chinese_Lotus_1.1_genomic	3175809	11468561	.27691433
GCF_000375325.1_Caprub1_0_genomic	2643587	6351635	.41620574
GCF_000390325.2_Ntom_v01_genomic	3829040	5543277	.69075386
GCF_000393655.1_Nsyl_genomic	923142	2553028	.36158710
GCF_000414095.1_ASM41409v2_genomic	908180	3053483	.29742428
GCF_000442705.1_EG5_genomic	730642	1914782	.38157973
GCF_000463585.1_ASM46358v1_genomic	1268078	4083199	.31055993
GCF_000471905.2_AMTR1.0_genomic	2334898	8278362	.28204830
GCF_000478725.1_Eutsalg1_0_genomic	2565671	5774692	.44429573
GCF_000493195.1_Citrus_clementina_v1.0_genomic	5491386	8026232	.68417982
GCF_000495115.1_PopEup_1.0_genomic	1951737	4900624	.39826295
GCF_000499845.1_PhaVulg1_0_genomic	0	571281	0
GCF_000504015.1_Mimgu1_0_genomic	960963	2383369	.40319522
GCF_000511025.2_RefBeet-1.2.2_genomic	302669	812378	.37257163
GCF_000512975.1_S_indicum_v1.0_genomic	2206940	4021211	.54882471
GCF_000611645.1_mono_v1_genomic	1405429	3010116	.46690193
GCF_000612285.1_Gossypium_arboreum_v1.0_genomic	2243676	3755400	.59745326
GCF_000633955.1_Cs_genomic	1300822	4775118	.27241672
GCF_000686985.2_Bra_napus_v2.0_genomic	580462	1444610	.40181225
GCF_000695525.1_BOL_genomic	783430	3049614	.25689480
GCF_000710875.1_Pepper_Zunla_1_Ref_v1.0_genomic	325446	2404368	.13535615
GCF_000715135.1_Ntab-TN90_genomic	325478	3144175	.10351777
GCF_000733215.1_ASM73321v1_genomic	316018	1084174	.29148273
GCF_000741045.1_Vradiata_ver6_genomic	925143	2391914	.38677937
GCF_000801105.1_Rs1.0_genomic	0	1860019	0
GCF_000816755.2_Araip1.1_genomic	835724	2353612	.35508146
GCF_000817695.2_Aradu1.1_genomic	937331	2505658	.37408576
GCF_000826755.1_ZizJuj_1.1_genomic	923643	10011872	.09225477
GCF_000987745.1_ASM98774v1_genomic	306398	633151	.48392563
GCF_001190045.1_Vigan1.1_genomic	1037502	2803040	.37013456
GCF_001263595.1_ASM126359v1_genomic	1208203	3576875	.33778172
GCF_001406875.1_SPENNV200_genomic	1172542	3694884	.31734203
GCF_001411555.2_Walnut_2.0_genomic	1402430	4175698	.33585522
GCF_001433935.1_IRGSP-1.0_genomic	923646	3937329	.23458694
GCF_001531365.1_CcrdV1_genomic	957890	3298540	.29039817
GCF_001540865.1_ASM154086v1_genomic	971022	2488081	.39026944
GCF_001605985.2_ASM160598v2_genomic	921556	2395097	.38476771
GCF_001625215.1_ASM162521v1_genomic	1642737	5594264	.29364667
GCF_001633185.1_ValleyOak3.0_genomic	0	642982	0
GCF_001654055.1_ASM165405v1_genomic	553516	1263157	.43820047
GCF_001659605.1_Manihot_esculenta_v6_genomic	1096851	2850929	.38473459
GCF_001683475.1_ASM168347v1_genomic	1145124	2870346	.39894981
GCF_001865875.1_LupAngTanjil_v1.0_genomic	0	0	
GCF_001876935.1_Aspof.V1_genomic	2191602	7551309	.29022809
GCF_001879085.1_NIATTr2_genomic	960096	5453324	.17605702
GCF_001879475.1_Asagao_1.1_genomic	957900	2911773	.32897482
GCF_001995035.1_ASM199503v1_genomic	2541180	3803702	.66808072
GCF_002007265.1_ASM200726v1_genomic	3034334	4145983	.73187323
GCF_002114115.1_ASM211411v1_genomic	1638018	2792196	.58664148
GCF_002127325.2_HanXRQr2.0-SUNRISE_genomic	1055630	3098650	.34067416
GCF_002162155.1_WEW_v2.0_genomic	0	711796	0
GCF_002168275.1_ASM216827v2_genomic	1511273	4388521	.34436954
GCF_002207925.1_PAV_r1.0_genomic	1167468	7983740	.14623071
GCF_002211085.1_PHallii_v3.1_genomic	1134664	2190201	.51806386
GCF_002220235.1_ASM222023v1_genomic	587628	1808741	.32488233
GCF_002303985.1_Duzib1.0_genomic	892482	3473772	.25692014
GCF_002575655.1_Aet_v4.0_genomic	1437457	3142301	.45745363
GCF_002738345.1_Cmax_1.0_genomic	365454	841555	.43426038
GCF_002738365.1_Cmos_1.0_genomic	318373	1268226	.25103806
GCF_002742605.1_O_europaea_v1_genomic	1840304	4419754	.41638154
GCF_002806865.1_ASM280686v2_genomic	2706834	5597939	.48354117
GCF_002870075.1_Lsat_Salinas_v7_genomic	2461511	5080726	.48448017
GCF_002906115.1_CorkOak1.0_genomic	4167007	6186997	.67351042
GCF_002994745.2_RchiOBHm-V2_genomic	682862	2106228	.32421086
GCF_003086295.2_arahy.Tifrunner.gnm1.KYV3_genomic	2441981	3770715	.64761749
GCF_003473485.1_MtrunA17r5.0-ANR_genomic	361511	2376176	.15213982
GCF_003573695.1_ASM357369v1_genomic	2115228	3686911	.57371279
GCF_003576645.1_ASM357664v1_genomic	1211812	3039808	.39864754
GCF_003713205.1_Ceug_1.0_genomic	1516457	3941953	.38469687
GCF_003713225.1_Cara_1.0_genomic	219008	543334	.40308171
GCF_003935025.1_Abrus_2018_genomic	856875	2169393	.39498375
GCF_004118075.1_ASM411807v1_genomic	3261508	4800309	.67943709
GCF_004153795.1_AHAU_CSS_1_genomic	2450705	4575244	.53564465
GCF_004193775.1_ASM419377v2_genomic	997480	2703161	.36900502
GCF_004353265.1_EGFV_Vit.rip_1.0_genomic	522072	6317284	.08264184
GCF_004799145.1_ASM479914v1_genomic	498193	1648745	.30216498
GCF_005239225.1_ASM523922v1_genomic	506878	1681088	.30151782
GCF_005286985.1_Setaria_viridis_v2.0_genomic	1910222	4199181	.45490346
GCF_006381635.1_ASM638163v2_genomic	513309	2110283	.24324178
GCF_007655135.1_ASM765513v2_genomic	527424	3100300	.17012031
GCF_007990345.1_Gossypium_hirsutum_v2.1_genomic	640817	1802823	.35545197
GCF_008641045.1_PisVer_v2_genomic	988414	2575822	.38372760
GCF_008831285.1_ASM883128v1_genomic	2866884	6011274	.47691787
GCF_009389715.1_palm_55x_up_171113_PBpolish2nd_filt_p_genomic	2296160	3720661	.61713765
GCF_009727055.1_ASM972705v1_genomic	3378455	5282663	.63953634
GCF_009730915.1_TDr96_F1_v2_PseudoChromosome.rev07_lg8_w22_25.fasta_genomic	62233	2492655	.02496655
GCF_013401445.1_ASM1340144v1_genomic	2233143	5753074	.38816517
GCF_014843425.1_RJC1_Hi-C_genomic	1207966	3080862	.39208701
GCF_016545825.1_ASM1654582v1_genomic	9994397	33078102	.30214541
GCF_016808335.1_P.virgatum_v5_genomic	3122379	6235226	.50076436
GCF_900626175.2_cs10_genomic	180494	466259	.38711102
GCF_900635035.1_Rarg10x-PRISCAF_genomic	3121237	4898917	.63712796
GCF_900635055.1_Sole10x-PRISCAF_genomic	3151945	4948537	.63694481
GCF_902167145.1_Zm-B73-REFERENCE-NAM-5.0_genomic	2909510	6355446	.45779792
GCF_902201215.1_ALMONDv2_genomic	2083721	3632635	.57361144
