Domain,DNA,AA,GC,L_DNA,L_AA
fungi,1.0005,0.958188,0.50500417,0.86599861,0.51728981
fungi,1.0005,0.958887,0.50173318,0.77833292,0.46002274
fungi,1.0005,0.959841,0.49520449,0.9229936,0.53341193
fungi,1.0,0.954958,0.52135241,0.70743733,0.44481056
fungi,1.0005,0.960011,0.49415197,0.93894614,0.5414814
fungi,1.0005,0.959652,0.49713687,0.76319742,0.44409784
fungi,1.0005,0.960755,0.49050506,0.69626328,0.39653167
fungi,1.0,0.956246,0.51579846,0.70538539,0.43605575
plant,0.656,0.830936,0.55101857,9.11268158,6.64562167
plant,0.986,0.963116,0.39967314,5.36908412,2.19499253
plant,0.948,0.885701,0.68210874,12.42374206,11.53233799
plant,0.73,0.820297,0.60885818,9.62280471,7.94912728
plant,0.9615,0.935907,0.55176281,7.03477515,4.7974232
plant,0.7865,0.884847,0.45353517,10.45076035,5.59866909
plant,0.8365,0.881094,0.59438691,11.58584386,9.00350217
plant,0.921,0.856947,0.72650775,12.10607233,12.00223898
plant,0.692,0.820918,0.51211922,9.61286215,6.30618348
plant,0.973,0.937247,0.5608245,8.79501185,6.17221049
plant,0.8105,0.881922,0.53010778,10.46070291,7.06678074
plant,0.9035,0.934616,0.4785594,5.68675382,3.10146358
plant,0.858,0.886879,0.61793538,6.19687695,5.01426774
plant,0.9795,0.961274,0.3805271,3.71377215,1.40833189
plant,0.9325,0.91469,0.60002807,7.13969988,5.54715359
plant,0.9855,0.95083,0.51471962,8.78506932,5.3715232
plant,0.861,0.911508,0.50094233,9.10273903,5.85781624
plant,0.89,0.922114,0.48833962,11.26817413,6.5918459
plant,0.9985,0.963065,0.46322281,3.72371468,1.9319732
plant,0.854,0.909888,0.47808297,10.758051,6.13991267
plant,0.9565,0.893866,0.66959549,12.93386518,11.74631144
viral,1.002,1.00588,0.42762839,0.00025779,0.00012064
viral,1.001,0.975496,0.44905192,0.00205494,0.00100418
viral,1.004,0.970141,0.48695652,0.00224481,0.00126767
viral,0.997,0.953777,0.58027399,0.00078734,0.00057566
viral,0.9995,0.975009,0.44166028,0.00218923,0.00103879
viral,1.005,1.02763,0.44518744,0.0001235,6.414e-05
viral,0.9965,0.977545,0.42430206,0.00164044,0.000727
viral,0.991,0.945031,0.60331431,0.0007279,0.00057073
viral,0.994,0.949375,0.59325081,0.00073788,0.00056084
viral,1.0015,0.975559,0.45234599,0.00204495,0.00100884
viral,0.9975,0.972797,0.43661823,0.00356186,0.0016559
viral,0.9995,0.957476,0.5702897,0.00079735,0.00056552
viral,1.004,0.970311,0.48758733,0.00271877,0.00154433
viral,0.991,0.941946,0.59863241,0.00140172,0.00108032
viral,0.998,0.977414,0.4301004,0.00177473,0.00081081
viral,0.9975,0.977437,0.42808903,0.00163043,0.00073745
viral,1.004,0.969543,0.49156817,0.00265934,0.0015417
viral,1.0,0.957208,0.56666954,0.00087217,0.00062034
viral,1.004,0.970606,0.48183023,0.00230427,0.00127976
viral,1.0025,0.961533,0.5508099,0.00093163,0.00063712
viral,0.996,1.00424,0.40500888,0.0002678,0.00011922
bacteria,0.993,0.941365,0.57279797,0.12226244,0.08940135
bacteria,0.992,0.940135,0.57686894,0.1145231,0.08461875
bacteria,0.9995,0.953827,0.52877698,0.0905448,0.0583536
bacteria,0.9725,0.913547,0.63882291,0.10357679,0.08853227
bacteria,0.9965,0.966376,0.44762602,0.06295717,0.0307992
bacteria,0.9855,0.930111,0.60175853,0.16515965,0.130089
bacteria,0.997,0.948008,0.55070259,0.11049586,0.075974
bacteria,0.996,0.966188,0.4432608,0.10159387,0.04927754
bacteria,0.968,0.908331,0.64927125,0.07588637,0.06628382
bacteria,0.957,0.895098,0.67172671,0.14637122,0.13341636
bacteria,0.9655,0.904863,0.65481812,0.13116442,0.11574381
bacteria,0.9905,0.937393,0.58385197,0.14221349,0.10707102
bacteria,0.9615,0.900509,0.66240181,0.1740616,0.15595626
bacteria,0.96,0.898555,0.66628018,0.10347401,0.0932622
bacteria,0.974,0.915396,0.63538922,0.08362574,0.07091847
bacteria,0.9665,0.906465,0.65224944,0.12652292,0.1113693
bacteria,0.999,0.953056,0.53130431,0.08280544,0.05390508
bacteria,0.961,0.899997,0.66342805,0.15411055,0.13841681
bacteria,0.9995,0.954149,0.53104521,0.0946748,0.06144032
bacteria,0.961,0.899804,0.66375246,0.12342506,0.11085023
bacteria,0.9915,0.938806,0.57835564,0.13344199,0.09900675
protozoa,0.9995,0.953378,0.52835654,0.52352211,0.33615002
protozoa,0.9935,0.941788,0.56940265,0.38841093,0.28086326
protozoa,0.989,0.964413,0.41226526,1.00702355,0.43372243
protozoa,0.947,0.945656,0.3094761,0.67850469,0.19124688
protozoa,0.9995,0.95387,0.52676642,0.50480833,0.3233221
protozoa,0.9935,0.941455,0.56979744,0.79800751,0.57743708
protozoa,0.9995,0.953062,0.53002808,0.58238004,0.3770181
protozoa,0.9915,0.964607,0.42218375,1.08459526,0.48512729
protozoa,0.98,0.962745,0.38146237,0.23032296,0.08771026
protozoa,0.9545,0.949973,0.32351437,0.73253815,0.22011162
protozoa,0.9955,0.944762,0.56052884,0.42373062,0.29934214
protozoa,0.9995,0.95356,0.52752833,0.63641351,0.40790293
protozoa,0.9955,0.945155,0.55914513,0.50130233,0.35229441
protozoa,0.9885,0.964222,0.41028165,0.97170386,0.41498694
protozoa,0.9435,0.943716,0.30394094,0.59742697,0.16455158
protozoa,0.9995,0.954395,0.52453701,0.5588418,0.35538702
protozoa,0.999,0.952699,0.5313739,0.46948865,0.30464478
protozoa,0.9855,0.964689,0.3981339,0.14924522,0.06082015
protozoa,0.9945,0.943294,0.56412094,0.91089891,0.65024971
protozoa,0.994,0.94197,0.56822085,0.87557922,0.63179746
protozoa,0.963,0.955999,0.33976326,0.09521176,0.03056173
