Identifier	Size1	Size2	Size3	Size4	Size7	Level1	Level2	Level3	Level4	Level7
GCF_000006925.2_ASM692v2_genomic.fna	2902092	2838512	2840054	2837516	2839996	0.88584	0.866433	0.866904	0.866129	0.866886
GCF_000006945.2_ASM694v2_genomic.fna	3226310	3185349	3185216	3184206	3185234	0.945038	0.93304	0.933001	0.932705	0.933006
GCF_000006965.1_ASM696v1_genomic.fna	5427539	5349022	5331073	5344341	5330364	0.903733	0.890659	0.88767	0.88988	0.887552
GCF_000006985.1_ASM698v1_genomic.fna	1662129	1650887	1650634	1650010	1650734	0.931625	0.925324	0.925182	0.924832	0.925238
GCF_000007025.1_ASM702v1_genomic.fna	478915	476203	476533	476227	476620	0.939367	0.934047	0.934694	0.934094	0.934865
GCF_000007045.1_ASM704v1_genomic.fna	990929	980916	981654	980830	981718	0.941379	0.931867	0.932568	0.931785	0.932629
GCF_000007085.1_ASM708v1_genomic.fna	1302666	1277119	1276702	1276534	1276529	0.903304	0.885589	0.8853	0.885183	0.88518
GCF_000007105.1_ASM710v1_genomic.fna	1224963	1217976	1221148	1218090	1221266	0.951414	0.945987	0.948451	0.946076	0.948542
GCF_000007125.1_ASM712v1_genomic.fna	2600317	2584826	2586471	2584003	2586702	0.935947	0.930371	0.930963	0.930075	0.931047
GCF_000007145.1_ASM714v1_genomic.fna	4242695	4194834	4182088	4190677	4181731	0.892047	0.881984	0.879305	0.88111	0.879229
GCF_000007165.1_ASM716v1_genomic.fna	4449863	4400746	4389065	4396886	4388707	0.896212	0.886319	0.883967	0.885542	0.883895
GCF_000007205.1_ASM720v1_genomic.fna	596000	593611	595240	593682	595316	0.954987	0.951159	0.953769	0.951273	0.953891
GCF_000007245.1_ASM724v1_genomic.fna	1639752	1606626	1607389	1606209	1607297	0.927542	0.908804	0.909235	0.908568	0.909183
GCF_000007265.1_ASM726v1_genomic.fna	866806	861042	862635	861061	862724	0.929862	0.923679	0.925388	0.923699	0.925483
GCF_000007285.1_ASM728v1_genomic.fna	810172	802233	803609	802206	803664	0.931483	0.922356	0.923938	0.922325	0.924001
GCF_000007365.1_ASM736v1_genomic.fna	219919	219527	220264	219547	220313	0.9314	0.92974	0.932861	0.929824	0.933068
GCF_000007405.1_ASM740v1_genomic.fna	2815155	2769355	2771535	2768585	2771587	0.898183	0.88357	0.884266	0.883324	0.884282
GCF_000007425.1_ASM742v1_genomic.fna	816068	807981	809420	807962	809477	0.934391	0.925131	0.926779	0.925109	0.926844
GCF_000007445.1_ASM744v1_genomic.fna	3338548	3276651	3274582	3275266	3274377	0.943208	0.925721	0.925137	0.92533	0.925079
GCF_000007465.2_ASM746v2_genomic.fna	888866	882890	884250	882852	884331	0.939566	0.933249	0.934686	0.933209	0.934772
GCF_000007485.1_ASM748v1_genomic.fna	562595	558421	559249	558532	559318	0.936456	0.929509	0.930887	0.929693	0.931002
GCF_000007505.1_ASM750v1_genomic.fna	2617509	2600755	2602332	2599863	2602568	0.93563	0.929641	0.930205	0.929322	0.930289
GCF_000007525.1_ASM752v1_genomic.fna	1788945	1770679	1769031	1769561	1769060	0.919624	0.910234	0.909387	0.909659	0.909402
GCF_000007545.1_ASM754v1_genomic.fna	3103804	3067142	3068052	3066222	3068126	0.944133	0.932981	0.933258	0.932701	0.93328
GCF_000007565.2_ASM756v2_genomic.fna	4879652	4821028	4804088	4816707	4803534	0.911832	0.900877	0.897712	0.90007	0.897608
GCF_000007585.1_ASM758v1_genomic.fna	1561338	1541655	1543267	1541317	1543362	0.922458	0.910829	0.911781	0.910629	0.911838
GCF_000007605.1_ASM760v1_genomic.fna	542236	540477	542155	540560	542260	0.956004	0.952903	0.955862	0.953049	0.956047
GCF_000007625.1_ASM762v1_genomic.fna	1068606	1056962	1056649	1056562	1056662	0.916783	0.906793	0.906524	0.90645	0.906536
GCF_000007645.1_ASM764v1_genomic.fna	932282	923577	924078	923437	924112	0.93321	0.924496	0.924997	0.924356	0.925031
GCF_000007665.1_ASM766v1_genomic.fna	2105491	2080891	2077379	2079111	2077383	0.857738	0.847716	0.846285	0.846991	0.846287
GCF_000007685.1_ASM768v1_genomic.fna	2114696	2087710	2085258	2086598	2085304	0.930264	0.918393	0.917315	0.917904	0.917335
GCF_000007705.1_ASM770v1_genomic.fna	3839923	3805144	3784492	3799540	3783835	0.883907	0.875901	0.871147	0.874611	0.870996
GCF_000007725.1_ASM772v1_genomic.fna	200365	200142	200891	200178	200940	0.937072	0.936029	0.939532	0.936197	0.939761
GCF_000007745.1_ASM774v1_genomic.fna	1185974	1176809	1178930	1176788	1179087	0.944353	0.937055	0.938744	0.937038	0.938869
GCF_000007765.2_ASM776v2_genomic.fna	1034567	1028492	1030106	1028590	1030216	0.943393	0.937853	0.939325	0.937943	0.939425
GCF_000007785.1_ASM778v1_genomic.fna	1537526	1512738	1512729	1512270	1512676	0.942023	0.926836	0.92683	0.926549	0.926798
GCF_000007805.1_ASM780v1_genomic.fna	4812588	4728586	4716600	4725060	4715825	0.908374	0.892519	0.890257	0.891854	0.89011
GCF_000007825.1_ASM782v1_genomic.fna	2470577	2434915	2431654	2433902	2431276	0.940254	0.926682	0.925441	0.926296	0.925297
GCF_000007845.1_ASM784v1_genomic.fna	2406706	2377527	2375695	2376665	2375618	0.945392	0.93393	0.93321	0.933592	0.93318
GCF_000007865.1_ASM786v1_genomic.fna	3995647	3956945	3934225	3951820	3933466	0.861894	0.853545	0.848644	0.85244	0.848481
GCF_000007885.1_ASM788v1_genomic.fna	2663375	2627491	2629199	2627021	2629152	0.927143	0.914651	0.915246	0.914488	0.915229
GCF_000007905.1_ASM790v1_genomic.fna	857813	853331	855918	853323	856072	0.946804	0.941857	0.944712	0.941848	0.944882
GCF_000007925.1_ASM792v1_genomic.fna	738259	735117	736643	735122	736753	0.952014	0.947962	0.94993	0.947969	0.950072
GCF_000007945.1_ASM794v1_genomic.fna	705249	699371	701313	699463	701387	0.928431	0.920693	0.92325	0.920814	0.923347
GCF_000007985.2_ASM798v2_genomic.fna	3018019	2994219	2988843	2992159	2988705	0.917749	0.910512	0.908877	0.909886	0.908835
GCF_000008005.1_ASM800v1_genomic.fna	2497277	2462336	2459865	2461389	2459656	0.941298	0.928128	0.927196	0.927771	0.927118
GCF_000008025.1_ASM802v1_genomic.fna	525392	517400	517291	517352	517271	0.894565	0.880958	0.880772	0.880876	0.880738
GCF_000008045.1_ASM804v1_genomic.fna	374636	373851	375019	373888	375096	0.939583	0.937614	0.940543	0.937707	0.940736
GCF_000008065.1_ASM806v1_genomic.fna	766773	757057	757665	756930	757653	0.925425	0.913699	0.914433	0.913546	0.914418
GCF_000008105.1_ASM810v1_genomic.fna	3199904	3158489	3159222	3157478	3159292	0.940991	0.928812	0.929028	0.928515	0.929048
GCF_000008125.1_ASM812v1_genomic.fna	1668892	1654898	1645028	1652342	1644934	0.82895	0.821999	0.817096	0.820729	0.81705
GCF_000008145.1_ASM814v1_genomic.fna	2592537	2575946	2577527	2575070	2577694	0.935721	0.929733	0.930304	0.929417	0.930364
GCF_000008165.1_ASM816v1_genomic.fna	2407171	2377911	2376029	2377045	2375947	0.945266	0.933776	0.933037	0.933436	0.933004
GCF_000008185.1_ASM818v1_genomic.fna	1451496	1434454	1435590	1434143	1435618	0.942361	0.931297	0.932034	0.931095	0.932052
GCF_000008205.1_ASM820v1_genomic.fna	331114	327497	328050	327422	328076	0.906968	0.89706	0.898575	0.896855	0.898646
GCF_000008225.1_ASM822v1_genomic.fna	337066	333405	334003	333342	334042	0.902154	0.892355	0.893956	0.892187	0.89406
GCF_000008245.1_ASM824v1_genomic.fna	252180	248884	248865	248882	248829	0.872257	0.860856	0.860791	0.860849	0.860666
GCF_000008285.1_ASM828v1_genomic.fna	1412743	1401852	1402776	1401634	1402826	0.948617	0.941304	0.941924	0.941157	0.941958
GCF_000008305.1_ASM830v1_genomic.fna	269450	268249	268865	268237	268922	0.92219	0.918079	0.920187	0.918038	0.920383
GCF_000008325.1_ASM832v1_genomic.fna	2756540	2733530	2731097	2731742	2731158	0.90353	0.895988	0.89519	0.895402	0.89521
GCF_000008345.1_ASM834v1_genomic.fna	1930411	1922158	1924503	1921721	1924680	0.927273	0.923309	0.924435	0.923099	0.92452
GCF_000008365.1_ASM836v1_genomic.fna	258837	256771	257278	256722	257310	0.903983	0.896768	0.898539	0.896597	0.89865
GCF_000008385.1_ASM838v1_genomic.fna	446420	444385	445580	444445	445653	0.934263	0.930004	0.932505	0.93013	0.932658
GCF_000008405.1_ASM840v1_genomic.fna	334606	331528	332159	331472	332188	0.917043	0.908607	0.910336	0.908454	0.910416
GCF_000008425.1_ASM842v1_genomic.fna	2655705	2638104	2640188	2637770	2640445	0.948744	0.942456	0.9432	0.942336	0.943292
GCF_000008445.1_ASM844v1_genomic.fna	2523304	2492034	2489965	2491110	2489850	0.945619	0.933901	0.933125	0.933555	0.933082
GCF_000008465.1_ASM846v1_genomic.fna	1548726	1538881	1541666	1538891	1541844	0.948454	0.942425	0.944131	0.942431	0.94424
GCF_000008485.1_ASM848v1_genomic.fna	1566597	1554995	1556992	1554968	1557103	0.956847	0.949761	0.950981	0.949744	0.951048
GCF_000008505.1_ASM850v1_genomic.fna	2426416	2392867	2390304	2391901	2390052	0.937091	0.924135	0.923145	0.923762	0.923048
GCF_000008525.1_ASM852v1_genomic.fna	702690	695032	696736	694972	696815	0.929462	0.919333	0.921587	0.919254	0.921692
GCF_000008545.1_ASM854v1_genomic.fna	1290138	1281281	1283421	1281179	1283544	0.945926	0.939432	0.941001	0.939357	0.941091
GCF_000008565.1_ASM856v1_genomic.fna	2620359	2595652	2587911	2592752	2587863	0.879663	0.871369	0.86877	0.870395	0.868754
GCF_000008585.1_ASM858v1_genomic.fna	3621942	3576562	3562225	3573372	3561188	0.895846	0.884622	0.881076	0.883833	0.880819
GCF_000008605.1_ASM860v1_genomic.fna	827022	823119	825610	823209	825752	0.942023	0.937577	0.940415	0.93768	0.940576
GCF_000008625.1_ASM862v1_genomic.fna	905728	900372	901607	900256	901755	0.935212	0.929682	0.930957	0.929562	0.93111
GCF_000008685.2_ASM868v2_genomic.fna	516590	496296	495126	495814	494801	0.837135	0.804248	0.802352	0.803467	0.801826
GCF_000008725.1_ASM872v1_genomic.fna	536991	535407	537241	535510	537340	0.953235	0.950423	0.953679	0.950606	0.953855
GCF_000008745.1_ASM874v1_genomic.fna	597181	594559	596149	594631	596224	0.953623	0.949436	0.951975	0.949551	0.952094
GCF_000008765.1_ASM876v1_genomic.fna	1626024	1607538	1606856	1606945	1606679	0.92382	0.913317	0.91293	0.91298	0.912829
GCF_000008785.1_ASM878v1_genomic.fna	701258	694300	695894	694221	695979	0.937948	0.928642	0.930774	0.928536	0.930888
GCF_000008805.1_ASM880v1_genomic.fna	1596219	1560572	1559222	1559481	1559021	0.894997	0.87501	0.874253	0.874398	0.87414
GCF_000008865.2_ASM886v2_genomic.fna	3499161	3404785	3401670	3402929	3400975	0.923435	0.898529	0.897707	0.898039	0.897523
GCF_000008925.1_ASM892v1_genomic.fna	816471	807313	808220	807174	808237	0.918093	0.907795	0.908815	0.907638	0.908834
GCF_000008945.1_ASM894v1_genomic.fna	1884219	1863061	1861158	1861808	1861158	0.915173	0.904897	0.903973	0.904288	0.903973
GCF_000008985.1_ASM898v1_genomic.fna	680754	674450	676227	674472	676286	0.907055	0.898656	0.901024	0.898685	0.901102
GCF_000009005.1_ASM900v1_genomic.fna	1057305	1047940	1048500	1047761	1048608	0.940841	0.932508	0.933006	0.932349	0.933102
GCF_000009025.1_ASM902v1_genomic.fna	826125	820051	821590	820003	821670	0.956105	0.949076	0.950857	0.94902	0.950949
GCF_000009045.1_ASM904v1_genomic.fna	2428740	2409086	2410451	2408803	2410549	0.951617	0.943916	0.944451	0.943806	0.94449
GCF_000009065.1_ASM906v1_genomic.fna	2657684	2623592	2625651	2623143	2625693	0.9208	0.908989	0.909702	0.908833	0.909717
GCF_000009085.1_ASM908v1_genomic.fna	622256	618229	619587	618169	619676	0.926469	0.920474	0.922496	0.920384	0.922628
GCF_000009105.1_ASM910v1_genomic.fna	1569443	1546176	1544720	1545135	1544636	0.908718	0.895246	0.894403	0.894644	0.894355
GCF_000009125.1_ASM912v1_genomic.fna	4817206	4725156	4688925	4718686	4687404	0.875119	0.858397	0.851815	0.857222	0.851539
GCF_000009145.1_ASM914v1_genomic.fna	1913216	1890980	1894313	1890867	1894446	0.928347	0.917557	0.919174	0.917502	0.919239
GCF_000009165.1_ASM916v1_genomic.fna	4556592	4503494	4489458	4499522	4489074	0.89676	0.88631	0.883547	0.885528	0.883472
GCF_000009205.2_ASM920v2_genomic.fna	1628258	1598153	1595221	1597331	1594947	0.913011	0.89613	0.894486	0.895669	0.894333
GCF_000009225.2_ASM922v1_genomic.fna	5243665	5192761	5173684	5187916	5172944	0.923094	0.914133	0.910775	0.91328	0.910644
GCF_000009245.1_ASM924v1_genomic.fna	669275	663634	665471	663668	665526	0.89001	0.882509	0.884952	0.882554	0.885025
GCF_000009265.1_ASM926v1_genomic.fna	6248582	6166329	6141057	6160872	6139953	0.913633	0.901606	0.897911	0.900809	0.89775
GCF_000009285.1_ASM928v2_genomic.fna	6200556	6138117	6091935	6130301	6090667	0.889627	0.880668	0.874042	0.879547	0.873861
GCF_000009305.1_ASM930v1_genomic.fna	656060	649816	651663	649783	651761	0.932653	0.923776	0.926402	0.923729	0.926541
GCF_000009325.1_ASM932v1_genomic.fna	680721	674425	676205	674446	676265	0.907149	0.898758	0.90113	0.898786	0.90121
GCF_000009345.1_ASM934v1_genomic.fna	2631283	2601586	2602625	2601139	2602728	0.945588	0.934916	0.935289	0.934755	0.935326
GCF_000009365.1_ASM936v1_genomic.fna	2164357	2155793	2157821	2155479	2158083	0.949822	0.946063	0.946953	0.945926	0.947068
GCF_000009385.1_ASM938v1_genomic.fna	788573	782591	784226	782616	784316	0.934659	0.927569	0.929507	0.927598	0.929613
GCF_000009405.1_ASM940v1_genomic.fna	1090350	1083270	1084030	1083092	1084161	0.949951	0.943782	0.944444	0.943627	0.944558
GCF_000009425.1_ASM942v1_genomic.fna	1096446	1082881	1083936	1082688	1084005	0.921687	0.910284	0.911171	0.910122	0.911229
GCF_000009445.1_ASM944v1_genomic.fna	3571540	3504965	3490272	3502014	3489104	0.889206	0.872631	0.868973	0.871896	0.868682
GCF_000009465.1_ASM946v1_genomic.fna	1562549	1536010	1534350	1534977	1534213	0.903365	0.888022	0.887062	0.887425	0.886983
GCF_000009485.1_ASM948v1_genomic.fna	6637348	6543428	6490038	6534349	6487531	0.866727	0.854463	0.847491	0.853277	0.847164
GCF_000009505.1_ASM950v1_genomic.fna	3050677	3018365	3019077	3017439	3019151	0.946899	0.93687	0.937091	0.936582	0.937114
GCF_000009525.1_ASM952v1_genomic.fna	3031984	3000602	3001592	2999729	3001682	0.945967	0.936176	0.936485	0.935903	0.936513
GCF_000009545.1_ASM954v1_genomic.fna	794228	789579	791039	789585	791141	0.9464	0.94086	0.9426	0.940867	0.942721
GCF_000009565.1_ASM956v1_genomic.fna	2932461	2898630	2899271	2897869	2899278	0.945004	0.934102	0.934309	0.933857	0.934311
GCF_000009585.1_ASM958v1_genomic.fna	1107635	1091848	1091915	1091577	1091899	0.928765	0.915528	0.915584	0.915301	0.915571
GCF_000009605.1_ASM960v1_genomic.fna	226808	226033	226857	226061	226905	0.932341	0.929155	0.932542	0.92927	0.932739
GCF_000009625.1_ASM962v1_genomic.fna	6228053	6161092	6132626	6155079	6131675	0.909065	0.899291	0.895136	0.898413	0.894997
GCF_000009645.1_ASM964v1_genomic.fna	1087796	1075478	1075636	1075263	1075631	0.931918	0.921366	0.921501	0.921181	0.921497
GCF_000009665.1_ASM966v1_genomic.fna	1120707	1108203	1108268	1107958	1108274	0.936571	0.926122	0.926176	0.925917	0.926181
GCF_000009685.1_ASM968v1_genomic.fna	1060341	1051975	1052081	1051663	1052166	0.912937	0.905734	0.905825	0.905465	0.905898
GCF_000009705.1_ASM970v1_genomic.fna	3311602	3249669	3242548	3247862	3241958	0.947886	0.930159	0.928121	0.929642	0.927952
GCF_000009725.1_ASM972v1_genomic.fna	2244209	2214281	2215597	2213612	2215760	0.94161	0.929053	0.929605	0.928772	0.929673
GCF_000009745.1_ASM974v1_genomic.fna	3042862	3014646	3015898	3014252	3015914	0.950897	0.94208	0.942471	0.941957	0.942476
GCF_000009765.2_ASM976v2_genomic.fna	7643503	7583980	7527719	7573686	7525433	0.854459	0.847805	0.841515	0.846654	0.84126
GCF_000009785.1_ASM978v1_genomic.fna	2590675	2546914	2545505	2545582	2545419	0.920721	0.905169	0.904668	0.904695	0.904637
GCF_000009805.1_ASM980v1_genomic.fna	5281466	5250941	5216555	5243570	5215346	0.854451	0.849513	0.84395	0.84832	0.843754
GCF_000009825.1_ASM982v1_genomic.fna	2567868	2549034	2550559	2548626	2550775	0.953562	0.946568	0.947134	0.946416	0.947214
GCF_000009865.1_ASM986v1_genomic.fna	961383	951076	951950	950941	951970	0.905787	0.896076	0.8969	0.895949	0.896918
GCF_000009885.1_ASM988v1_genomic.fna	3885437	3846499	3841077	3843941	3840934	0.927174	0.917882	0.916588	0.917271	0.916554
GCF_000009905.1_ASM990v1_genomic.fna	2866584	2820311	2804970	2816458	2804432	0.851227	0.837486	0.832931	0.836342	0.832771
GCF_000009925.1_ASM992v1_genomic.fna	3183130	3144744	3145396	3144177	3145306	0.9593	0.947732	0.947928	0.947561	0.947901
GCF_000009945.1_ASM994v1_genomic.fna	555344	553597	555253	553685	555352	0.95711	0.954099	0.956953	0.954251	0.957124
GCF_000009985.1_ASM998v1_genomic.fna	4040425	3980867	3957584	3975497	3956685	0.887984	0.874894	0.869777	0.873714	0.86958
GCF_000010005.1_ASM1000v1_genomic.fna	876134	864606	865708	864540	865728	0.918045	0.905965	0.90712	0.905896	0.907141
GCF_000010025.1_ASM1002v1_genomic.fna	3768942	3635093	3621772	3630402	3620862	0.821791	0.792606	0.789702	0.791584	0.789503
GCF_000010045.1_ASM1004v1_genomic.fna	3447216	3396113	3392346	3394940	3392011	0.949172	0.935101	0.934064	0.934778	0.933972
GCF_000010065.1_ASM1006v1_genomic.fna	1853189	1844208	1846782	1843729	1846957	0.933151	0.928628	0.929925	0.928387	0.930013
GCF_000010105.1_ASM1010v1_genomic.fna	5759696	5705797	5692203	5702233	5691587	0.909864	0.90135	0.899202	0.900787	0.899105
GCF_000010125.1_ASM1012v1_genomic.fna	1003722	994992	995807	994828	995902	0.943578	0.935371	0.936137	0.935217	0.936226
GCF_000010145.1_ASM1014v1_genomic.fna	1160848	1143968	1143819	1143388	1143843	0.903241	0.890107	0.889991	0.889656	0.89001
GCF_000010165.1_ASM1016v1_genomic.fna	4153749	4100577	4097848	4099434	4097429	0.951056	0.938882	0.938257	0.93862	0.938161
GCF_000010185.1_ASM1018v1_genomic.fna	893172	886544	887058	886377	887128	0.935058	0.928119	0.928657	0.927944	0.92873
GCF_000010205.1_ASM1020v1_genomic.fna	488205	456825	452385	456349	451840	0.650363	0.60856	0.602645	0.607926	0.601919
GCF_000010225.1_ASM1022v1_genomic.fna	2391266	2377878	2378018	2377239	2378220	0.944392	0.939105	0.93916	0.938852	0.93924
GCF_000010245.2_ASM1024v1_genomic.fna	2981843	2944833	2945261	2944030	2945253	0.943207	0.9315	0.931635	0.931246	0.931633
GCF_000010265.1_ASM1026v1_genomic.fna	1668980	1644693	1643627	1644001	1643546	0.930631	0.917089	0.916494	0.916703	0.916449
GCF_000010285.1_ASM1028v1_genomic.fna	2244636	2237447	2228300	2234835	2228269	0.851851	0.849123	0.845651	0.848131	0.84564
GCF_000010305.1_ASM1030v1_genomic.fna	3981624	3967460	3966074	3965691	3966269	0.914328	0.911075	0.910757	0.910669	0.910802
GCF_000010325.1_ASM1032v1_genomic.fna	1112771	1107086	1109286	1107048	1109450	0.951006	0.946147	0.948027	0.946115	0.948167
GCF_000010345.1_ASM1034v1_genomic.fna	1593243	1583206	1584903	1582989	1585051	0.957792	0.951758	0.952778	0.951628	0.952867
GCF_000010365.1_ASM1036v1_genomic.fna	47157	47112	47278	47117	47298	0.869792	0.868962	0.872024	0.869054	0.872392
GCF_000010385.1_ASM1038v1_genomic.fna	3314541	3257958	3256999	3256703	3256820	0.944049	0.927933	0.92766	0.927576	0.927609
GCF_000010405.1_ASM1040v1_genomic.fna	374083	373344	374388	373376	374461	0.94925	0.947375	0.950024	0.947456	0.950209
GCF_000010425.1_ASM1042v1_genomic.fna	1698075	1684511	1683228	1683409	1683258	0.924945	0.917557	0.916858	0.916957	0.916874
GCF_000010445.1_ASM1044v1_genomic.fna	1112816	1100573	1100644	1100327	1100650	0.937102	0.926792	0.926852	0.926585	0.926857
GCF_000010465.1_ASM1046v1_genomic.fna	1103568	1087402	1087249	1087124	1087201	0.926356	0.912786	0.912658	0.912553	0.912617
GCF_000010485.1_ASM1048v1_genomic.fna	3124927	3091232	3092181	3090512	3092256	0.948819	0.938588	0.938876	0.938369	0.938899
GCF_000010505.1_ASM1050v1_genomic.fna	1555411	1533069	1534911	1532778	1534965	0.909695	0.896628	0.897706	0.896458	0.897737
GCF_000010525.1_ASM1052v1_genomic.fna	4454730	4426632	4407316	4421765	4406796	0.882411	0.876845	0.873019	0.875881	0.872916
GCF_000010545.1_ASM1054v1_genomic.fna	5763757	5689414	5646181	5681673	5644102	0.866112	0.85494	0.848444	0.853777	0.848131
GCF_000010585.1_ASM1058v1_genomic.fna	998160	991558	992749	991476	992859	0.950638	0.944351	0.945485	0.944273	0.94559
GCF_000010605.1_ASM1060v1_genomic.fna	7094720	7003469	6940919	6993519	6939102	0.838352	0.82757	0.820178	0.826394	0.819964
GCF_000010625.1_ASM1062v1_genomic.fna	2459059	2359176	2349611	2356604	2348694	0.851204	0.816629	0.813318	0.815739	0.813001
GCF_000010665.1_ASM1066v1_genomic.fna	4253790	4186274	4162426	4179920	4161473	0.891002	0.87686	0.871865	0.875529	0.871666
GCF_000010685.1_ASM1068v1_genomic.fna	3581863	3520855	3506473	3517836	3505415	0.892157	0.876961	0.873379	0.876209	0.873115
GCF_000010705.1_ASM1070v1_genomic.fna	932409	925068	926704	925079	926768	0.931983	0.924645	0.926281	0.924656	0.926344
GCF_000010725.1_ASM1072v1_genomic.fna	6146238	5985584	5933836	5976697	5931699	0.854881	0.832536	0.825338	0.8313	0.825041
GCF_000010745.1_ASM1074v1_genomic.fna	3464679	3360371	3357394	3358442	3356886	0.920816	0.893094	0.892303	0.892582	0.892168
GCF_000010765.1_ASM1076v1_genomic.fna	3585510	3484850	3481688	3482806	3481131	0.918192	0.892414	0.891605	0.891891	0.891462
GCF_000010785.1_ASM1078v1_genomic.fna	992020	986097	988388	986106	988541	0.950668	0.944992	0.947187	0.945	0.947334
GCF_000010805.1_ASM1080v1_genomic.fna	7460709	7362941	7295589	7353068	7292224	0.875903	0.864425	0.856517	0.863265	0.856122
GCF_000010825.1_ASM1082v1_genomic.fna	2299226	2249982	2252110	2249300	2251987	0.889168	0.870124	0.870947	0.86986	0.870899
GCF_000010845.1_ASM1084v1_genomic.fna	2299085	2249947	2252082	2249262	2251958	0.889249	0.870244	0.871069	0.869979	0.871021
GCF_000010865.1_ASM1086v1_genomic.fna	2299051	2249938	2252065	2249257	2251943	0.889578	0.870574	0.871397	0.870311	0.87135
GCF_000010885.1_ASM1088v1_genomic.fna	2299104	2249969	2252104	2249284	2251980	0.889256	0.870252	0.871077	0.869987	0.871029
GCF_000010905.1_ASM1090v1_genomic.fna	2299097	2249950	2252086	2249266	2251961	0.88925	0.870241	0.871067	0.869977	0.871019
GCF_000010925.1_ASM1092v1_genomic.fna	2298942	2249895	2252027	2249214	2251904	0.889911	0.870925	0.871751	0.870662	0.871703
GCF_000010945.1_ASM1094v1_genomic.fna	2249533	2203653	2205903	2203031	2205798	0.893211	0.874994	0.875887	0.874747	0.875845
GCF_000010965.1_ASM1096v1_genomic.fna	2298930	2249894	2252024	2249212	2251901	0.889925	0.870943	0.871768	0.870679	0.87172
GCF_000010985.1_ASM1098v1_genomic.fna	1015015	1006297	1006658	1006016	1006719	0.923855	0.91592	0.916249	0.915665	0.916304
GCF_000011025.1_ASM1102v1_genomic.fna	1655229	1644671	1643645	1643740	1643707	0.924039	0.918145	0.917573	0.917626	0.917607
GCF_000011045.1_ASM1104v1_genomic.fna	1648530	1631054	1631827	1630902	1631853	0.9372	0.927265	0.927705	0.927179	0.92772
GCF_000011065.1_ASM1106v1_genomic.fna	3717864	3664639	3662543	3663627	3662022	0.956651	0.942956	0.942417	0.942696	0.942283
GCF_000011145.1_ASM1114v1_genomic.fna	2246398	2224716	2226474	2224521	2226564	0.931504	0.922513	0.923242	0.922432	0.923279
GCF_000011165.1_ASM1116v1_genomic.fna	596665	594351	595966	594424	596071	0.955395	0.95169	0.954276	0.951807	0.954444
GCF_000011225.1_ASM1122v1_genomic.fna	424876	415692	414916	415410	414833	0.900256	0.880796	0.879152	0.880199	0.878976
GCF_000011245.1_ASM1124v1_genomic.fna	1605067	1593790	1594246	1593536	1594327	0.944117	0.937484	0.937752	0.937334	0.937799
GCF_000011265.1_ASM1126v1_genomic.fna	1092108	1081799	1081868	1081580	1081909	0.939826	0.930954	0.931014	0.930766	0.931049
GCF_000011285.1_ASM1128v1_genomic.fna	815670	808253	809647	808236	809698	0.937317	0.928794	0.930396	0.928774	0.930454
GCF_000011305.1_ASM1130v1_genomic.fna	2484958	2459940	2453654	2458114	2453603	0.892842	0.883853	0.881595	0.883197	0.881576
GCF_000011325.1_ASM1132v1_genomic.fna	2325101	2306115	2306273	2305465	2306447	0.942867	0.935168	0.935232	0.934904	0.935303
