Identifier	GC	ATGC	Percentage
GCF_000008565.1_ASM856v1_genomic	2187656	3284061	.66614353
GCF_000008585.1_ASM858v1_genomic	2889216	4403662	.65609395
GCF_000008605.1_ASM860v1_genomic	600552	1137944	.52775180
GCF_000008625.1_ASM862v1_genomic	688838	1590791	.43301602
GCF_000008685.2_ASM868v2_genomic	428672	1521153	.28180728
GCF_000008725.1_ASM872v1_genomic	430636	1042519	.41307256
GCF_000008745.1_ASM874v1_genomic	499199	1230230	.40577696
GCF_000008765.1_ASM876v1_genomic	1278098	4132880	.30925117
GCF_000008785.1_ASM878v1_genomic	644196	1643831	.39188700
GCF_000008805.1_ASM880v1_genomic	1170898	2272360	.51527838
GCF_000008865.2_ASM886v2_genomic	2824389	5594605	.50484153
GCF_000008925.1_ASM892v1_genomic	705076	2133977	.33040468
GCF_000008945.1_ASM894v1_genomic	1437632	2389526	.60163898
GCF_000008985.1_ASM898v1_genomic	610597	1892775	.32259354
GCF_000009005.1_ASM900v1_genomic	898967	2742531	.32778736
GCF_000009025.1_ASM902v1_genomic	656247	1395502	.47025873
GCF_000009045.1_ASM904v1_genomic	1834396	4215606	.43514408
GCF_000009065.1_ASM906v1_genomic	2301052	4829855	.47642258
GCF_000009085.1_ASM908v1_genomic	501449	1641481	.30548571
GCF_000009105.1_ASM910v1_genomic	1131722	2184406	.51809141
GCF_000009125.1_ASM912v1_genomic	3891890	5810922	.66975430
GCF_000009145.1_ASM914v1_genomic	1426243	2812094	.50718183
GCF_000009165.1_ASM916v1_genomic	3499053	5420152	.64556362
GCF_000009205.2_ASM920v2_genomic	1248969	4298133	.29058407
GCF_000009225.2_ASM922v1_genomic	4067443	6722539	.60504565
GCF_000009245.1_ASM924v1_genomic	609612	1895994	.32152633
GCF_000009265.1_ASM926v1_genomic	4717608	7751309	.60862081
GCF_000009285.1_ASM928v2_genomic	4920037	7416678	.66337476
GCF_000009305.1_ASM930v1_genomic	594516	1557588	.38169015
GCF_000009325.1_ASM932v1_genomic	610558	1892616	.32260004
GCF_000009345.1_ASM934v1_genomic	2211728	4683620	.47222618
GCF_000009365.1_ASM936v1_genomic	1707585	3120143	.54727780
GCF_000009385.1_ASM938v1_genomic	711255	1841271	.38628480
GCF_000009405.1_ASM940v1_genomic	888822	2566423	.34632716
GCF_000009425.1_ASM942v1_genomic	904176	2529478	.35745556
GCF_000009445.1_ASM944v1_genomic	2871263	4374522	.65636039
GCF_000009465.1_ASM946v1_genomic	1133119	2194961	.51623650
GCF_000009485.1_ASM948v1_genomic	5389260	8055782	.66899278
GCF_000009505.1_ASM950v1_genomic	2444481	4685848	.52167313
GCF_000009525.1_ASM952v1_genomic	2432052	4658697	.52204554
GCF_000009545.1_ASM954v1_genomic	678550	1852352	.36631806
GCF_000009565.1_ASM956v1_genomic	2317432	4558947	.50832615
GCF_000009585.1_ASM958v1_genomic	949627	2885367	.32911827
GCF_000009605.1_ASM960v1_genomic	172881	655725	.26364863
GCF_000009625.1_ASM962v1_genomic	4748293	7596297	.62507995
GCF_000009645.1_ASM964v1_genomic	931559	2839469	.32807507
GCF_000009665.1_ASM966v1_genomic	953661	2903636	.32843682
GCF_000009685.1_ASM968v1_genomic	879807	3085740	.28512026
GCF_000009705.1_ASM970v1_genomic	2976185	7211789	.41268331
GCF_000009725.1_ASM972v1_genomic	1869553	3947019	.47366202
GCF_000009745.1_ASM974v1_genomic	2455465	5260086	.46681080
GCF_000009765.2_ASM976v2_genomic	6447889	9119895	.70701351
GCF_000009785.1_ASM978v1_genomic	1867483	3592666	.51980423
GCF_000009805.1_ASM980v1_genomic	4448204	6292344	.70692320
GCF_000009825.1_ASM982v1_genomic	1926125	4303871	.44753316
GCF_000009865.1_ASM986v1_genomic	884383	2697861	.32780895
GCF_000009885.1_ASM988v1_genomic	3139628	5472672	.57369197
GCF_000009905.1_ASM990v1_genomic	2448808	3566135	.68668404
GCF_000009925.1_ASM992v1_genomic	2294576	5310990	.43204299
GCF_000009945.1_ASM994v1_genomic	461772	1173791	.39340223
GCF_000009985.1_ASM998v1_genomic	3233291	4967115	.65093942
GCF_000010005.1_ASM1000v1_genomic	792899	2039414	.38878766
GCF_000010025.1_ASM1002v1_genomic	3146982	4940217	.63701290
GCF_000010045.1_ASM1004v1_genomic	2712554	5727534	.47359893
GCF_000010065.1_ASM1006v1_genomic	1495999	2696255	.55484329
GCF_000010105.1_ASM1010v1_genomic	4296493	6895538	.62308307
GCF_000010125.1_ASM1012v1_genomic	855500	2577899	.33185939
GCF_000010145.1_ASM1014v1_genomic	1080173	2098684	.51469063
GCF_000010165.1_ASM1016v1_genomic	2976549	6296436	.47273552
GCF_000010185.1_ASM1018v1_genomic	637078	1986740	.32066500
GCF_000010205.1_ASM1020v1_genomic	613018	2008987	.30513786
GCF_000010225.1_ASM1022v1_genomic	1820555	3363294	.54130117
GCF_000010245.2_ASM1024v1_genomic	2360317	4646332	.50799576
GCF_000010265.1_ASM1026v1_genomic	1266261	3955303	.32014260
GCF_000010285.1_ASM1028v1_genomic	1919672	2697540	.71163801
GCF_000010305.1_ASM1030v1_genomic	2980379	4636964	.64274361
GCF_000010325.1_ASM1032v1_genomic	745325	1877931	.39688625
GCF_000010345.1_ASM1034v1_genomic	1124109	2562277	.43871486
GCF_000010365.1_ASM1036v1_genomic	26447	159662	.16564367
GCF_000010385.1_ASM1038v1_genomic	2616202	5155626	.50744604
GCF_000010405.1_ASM1040v1_genomic	322949	1022154	.31594945
GCF_000010425.1_ASM1042v1_genomic	1236742	2089644	.59184339
GCF_000010445.1_ASM1044v1_genomic	946932	2880168	.32877665
GCF_000010465.1_ASM1046v1_genomic	946819	2878897	.32888255
GCF_000010485.1_ASM1048v1_genomic	2455948	4839683	.50746050
GCF_000010505.1_ASM1050v1_genomic	1138806	2354886	.48359283
GCF_000010525.1_ASM1052v1_genomic	3614878	5369772	.67319022
GCF_000010545.1_ASM1054v1_genomic	4673919	7008810	.66686341
GCF_000010585.1_ASM1058v1_genomic	811605	2219737	.36563115
GCF_000010605.1_ASM1060v1_genomic	6172503	8545929	.72227407
GCF_000010625.1_ASM1062v1_genomic	2473292	5842795	.42330631
GCF_000010665.1_ASM1066v1_genomic	3331529	5315620	.62674325
GCF_000010685.1_ASM1068v1_genomic	2869723	4371711	.65643017
GCF_000010705.1_ASM1070v1_genomic	833629	2106340	.39577133
GCF_000010725.1_ASM1072v1_genomic	5138395	7599738	.67612791
GCF_000010745.1_ASM1074v1_genomic	2797461	5524860	.50634061
GCF_000010765.1_ASM1076v1_genomic	2908200	5766081	.50436336
GCF_000010785.1_ASM1078v1_genomic	766984	1743135	.44000263
GCF_000010805.1_ASM1080v1_genomic	5974279	8834939	.67621055
GCF_000010825.1_ASM1082v1_genomic	1773656	3340249	.53099514
GCF_000010845.1_ASM1084v1_genomic	1773376	3339669	.53100352
GCF_000010865.1_ASM1086v1_genomic	1772657	3338426	.53098585
GCF_000010885.1_ASM1088v1_genomic	1773363	3339649	.53100280
GCF_000010905.1_ASM1090v1_genomic	1773385	3339683	.53100399
GCF_000010925.1_ASM1092v1_genomic	1771885	3337040	.53097505
GCF_000010945.1_ASM1094v1_genomic	1726097	3247995	.53143462
GCF_000010965.1_ASM1096v1_genomic	1771858	3336990	.53097492
GCF_000010985.1_ASM1098v1_genomic	770784	2542933	.30310826
GCF_000011025.1_ASM1102v1_genomic	1350208	2264603	.59622282
GCF_000011045.1_ASM1104v1_genomic	1403116	3005051	.46691919
GCF_000011065.1_ASM1106v1_genomic	2697369	6293399	.42860289
GCF_000011145.1_ASM1114v1_genomic	1835819	4202352	.43685512
GCF_000011165.1_ASM1116v1_genomic	497758	1226564	.40581494
GCF_000011225.1_ASM1122v1_genomic	349407	1358633	.25717541
GCF_000011245.1_ASM1124v1_genomic	1295420	3630528	.35681311
GCF_000011265.1_ASM1126v1_genomic	925946	2820462	.32829586
GCF_000011285.1_ASM1128v1_genomic	730248	1894275	.38550263
GCF_000011305.1_ASM1130v1_genomic	2027445	3219505	.62973811
GCF_000011325.1_ASM1132v1_genomic	1780797	3309401	.53810251
GCF_000011345.1_ASM1134v1_genomic	1398554	2593857	.53917929
GCF_000011365.1_ASM1136v1_genomic	5833137	9105828	.64059380
GCF_000011385.1_ASM1138v1_genomic	2888492	4659019	.61997858
GCF_000011405.1_ASM1140v1_genomic	609630	1895727	.32158111
GCF_000011465.1_ASM1146v1_genomic	510647	1657990	.30799160
GCF_000011485.1_ASM1148v1_genomic	1223271	2410872	.50739773
GCF_000011505.1_ASM1150v1_genomic	952267	2902619	.32807164
GCF_000011525.1_ASM1152v1_genomic	925603	2820454	.32817518
GCF_000011545.1_ASM1154v1_genomic	4932588	7247547	.68058723
GCF_000011565.2_ASM1156v2_genomic	847767	2438912	.34760048
GCF_000011605.1_ASM1160v1_genomic	2580995	5064019	.50967324
GCF_000011625.1_ASM1162v1_genomic	2052565	5843235	.35127202
GCF_000011645.1_ASM1164v1_genomic	1950603	4222597	.46194391
GCF_000011665.1_ASM1166v1_genomic	734970	1899877	.38685135
GCF_000011685.1_ASM1168v1_genomic	1777303	2922384	.60816887
GCF_000011705.1_ASM1170v1_genomic	3996491	5835527	.68485519
GCF_000011725.1_ASM1172v1_genomic	616415	1589954	.38769360
GCF_000011745.1_ASM1174v1_genomic	234050	791654	.29564683
GCF_000011765.3_ASM1176v2_genomic	708493	1838562	.38535170
GCF_000011785.1_ASM1178v1_genomic	748624	2012878	.37191722
GCF_000011805.1_ASM1180v1_genomic	1638815	4273718	.38346353
GCF_000011825.1_ASM1182v1_genomic	702417	1796846	.39091663
GCF_000011845.1_ASM1184v1_genomic	701991	1796226	.39081440
GCF_000011865.1_ASM1186v1_genomic	538792	1777831	.30306142
GCF_000011885.1_ASM1188v1_genomic	2391855	4585229	.52164352
GCF_000011905.1_ASM1190v1_genomic	717962	1469720	.48850257
GCF_000011925.1_ASM1192v1_genomic	849969	2643840	.32149033
GCF_000011945.1_ASM1194v1_genomic	596001	1197687	.49762667
GCF_000011965.2_ASM1196v2_genomic	2947874	4601048	.64069620
GCF_000011985.1_ASM1198v1_genomic	692056	1993560	.34714580
GCF_000012005.1_ASM1200v1_genomic	2324637	4560911	.50968699
GCF_000012025.1_ASM1202v1_genomic	2374795	4646520	.51109109
GCF_000012045.1_ASM1204v1_genomic	923317	2813862	.32813158
GCF_000012085.2_ASM1208v2_genomic	343520	1165365	.29477459
GCF_000012105.1_ASM1210v1_genomic	3344448	5148708	.64957033
GCF_000012125.1_ASM1212v1_genomic	434113	1051969	.41266710
GCF_000012165.2_ASM1216v2_genomic	727791	1897578	.38353680
GCF_000012185.1_ASM1218v1_genomic	730506	1914490	.38156689
GCF_000012205.1_ASM1220v1_genomic	3539920	6112448	.57913294
GCF_000012225.1_ASM1222v1_genomic	194109	723970	.26811746
GCF_000012245.1_ASM1224v1_genomic	3609468	6093698	.59232800
GCF_000012265.1_ASM1226v1_genomic	4478756	7074893	.63304929
GCF_000012305.1_ASM1230v1_genomic	1134506	2650701	.42800225
GCF_000012325.1_ASM1232v1_genomic	2042100	5373180	.38005426
GCF_000012345.1_ASM1234v1_genomic	388480	1308759	.29683081
GCF_000012365.1_ASM1236v1_genomic	4547296	6723972	.67628122
GCF_000012385.1_ASM1238v1_genomic	481674	1522076	.31645857
GCF_000012405.1_ASM1240v1_genomic	2458622	3642249	.67502853
GCF_000012425.1_ASM1242v1_genomic	2666779	4501104	.59247220
GCF_000012445.1_ASM1244v1_genomic	3896584	6438405	.60520952
GCF_000012465.1_ASM1246v1_genomic	647282	1842899	.35123031
GCF_000012485.1_ASM1248v1_genomic	1355765	2364842	.57330045
GCF_000012505.1_ASM1250v1_genomic	1210483	2234828	.54164481
GCF_000012525.1_ASM1252v1_genomic	1519940	2742269	.55426364
GCF_000012565.1_ASM1256v1_genomic	380803	1315030	.28957742
GCF_000012585.1_ASM1258v1_genomic	1138870	2572079	.44278188
GCF_000012605.1_ASM1260v1_genomic	1047081	2427734	.43129972
GCF_000012625.1_ASM1262v1_genomic	1486753	2510659	.59217639
GCF_000012645.1_ASM1264v1_genomic	533451	1709204	.31210493
GCF_000012665.1_ASM1266v1_genomic	2157422	3730232	.57836134
GCF_000012685.1_ASM1268v1_genomic	6296496	9139763	.68891239
GCF_000012705.1_ASM1270v1_genomic	757988	2127839	.35622431
GCF_000012725.1_ASM1272v1_genomic	2110965	3402093	.62049009
GCF_000012745.1_ASM1274v1_genomic	1922430	2909809	.66067222
GCF_000012765.1_ASM1276v1_genomic	240087	1010023	.23770448
GCF_000012785.1_ASM1278v1_genomic	4967880	7308054	.67978151
GCF_000012805.1_ASM1280v1_genomic	1773098	3522111	.50341911
GCF_000012825.1_ASM1282v1_genomic	2178943	5163189	.42201496
GCF_000012845.1_ASM1284v1_genomic	2167987	4811379	.45059576
GCF_000012865.1_ASM1286v1_genomic	1009832	2401519	.42049719
GCF_000012885.1_ASM1288v1_genomic	2020411	3665893	.55113747
GCF_000012925.1_ASM1292v1_genomic	2386067	4011182	.59485383
GCF_000012945.1_ASM1294v1_genomic	5749981	8676277	.66272446
GCF_000012965.1_ASM1296v1_genomic	758701	2201561	.34461956
GCF_000012985.1_ASM1298v1_genomic	3886846	7215267	.53869745
GCF_000013005.1_ASM1300v1_genomic	1925102	3052398	.63068512
GCF_000013045.1_ASM1304v1_genomic	2372473	3587328	.66134822
GCF_000013065.1_ASM1306v1_genomic	1952940	5506207	.35467972
GCF_000013085.1_ASM1308v1_genomic	2880951	4406557	.65378729
GCF_000013105.1_ASM1310v1_genomic	1466639	2628784	.55791537
GCF_000013125.1_ASM1312v1_genomic	612582	1471282	.41635933
GCF_000013145.1_ASM1314v1_genomic	354059	1176248	.30100710
GCF_000013165.1_ASM1316v1_genomic	352917	859006	.41084346
GCF_000013205.1_ASM1320v1_genomic	1766620	2932766	.60237332
GCF_000013225.1_ASM1322v1_genomic	1780796	3046680	.58450378
GCF_000013245.1_ASM1324v1_genomic	627309	1605736	.39066758
GCF_000013265.1_ASM1326v1_genomic	2621763	5179971	.50613468
GCF_000013285.1_ASM1328v1_genomic	924219	3256683	.28379151
GCF_000013305.1_ASM1330v1_genomic	2495020	4938920	.50517522
GCF_000013325.1_ASM1332v1_genomic	2756420	4233314	.65112580
GCF_000013345.1_ASM1334v1_genomic	3807822	5433628	.70078812
GCF_000013365.1_ASM1336v1_genomic	3520939	5331656	.66038375
GCF_000013385.1_ASM1338v1_genomic	3755360	5013479	.74905270
GCF_000013405.1_ASM1340v1_genomic	1636069	3179300	.51460038
GCF_000013425.1_ASM1342v1_genomic	927332	2821360	.32868262
GCF_000013465.1_ASM1346v1_genomic	953736	2917469	.32690527
GCF_000013485.1_ASM1348v1_genomic	707738	1836467	.38538018
GCF_000013505.1_ASM1350v1_genomic	741025	1928252	.38429883
GCF_000013545.1_ASM1354v1_genomic	742222	1937111	.38315925
GCF_000013565.1_ASM1356v1_genomic	2741251	4404049	.62243880
GCF_000013585.1_ASM1358v1_genomic	2329122	4574284	.50917739
GCF_000013605.1_ASM1360v1_genomic	2961794	4969784	.59596030
GCF_000013625.1_ASM1362v1_genomic	2229161	4110251	.54234181
GCF_000013645.1_ASM1364v1_genomic	6094399	9731138	.62627813
GCF_000013665.1_ASM1366v1_genomic	2317668	5057531	.45826076
GCF_000013705.1_ASM1370v1_genomic	1655702	2971517	.55719082
GCF_000013745.1_ASM1374v1_genomic	3581639	5513844	.64957205
GCF_000013765.1_ASM1376v1_genomic	2052439	4545906	.45149173
GCF_000013785.1_ASM1378v1_genomic	2917598	4567418	.63878497
GCF_000013805.1_ASM1380v1_genomic	2213260	4646286	.47635035
GCF_000013825.1_ASM1382v1_genomic	2327929	4879836	.47705066
GCF_000013865.1_ASM1386v1_genomic	3655681	5898676	.61974602
GCF_000013885.1_ASM1388v1_genomic	3087965	5011522	.61617309
GCF_000013905.1_ASM1390v1_genomic	1309833	3101097	.42237730
GCF_000013925.1_ASM1392v2_genomic	3796479	5805761	.65391582
GCF_000013985.1_ASM1398v1_genomic	2208369	3373713	.65458116
GCF_000014005.1_ASM1400v1_genomic	3298902	5650368	.58383843
GCF_000014025.1_ASM1402v1_genomic	633195	2341251	.27045156
GCF_000014045.1_ASM1404v1_genomic	2550232	4331234	.58880032
GCF_000014065.1_ASM1406v1_genomic	2494561	4153699	.60056373
GCF_000014085.1_ASM1408v1_genomic	4871559	7279116	.66925145
GCF_000014105.1_ASM1410v1_genomic	1113323	2153416	.51700321
GCF_000014125.1_ASM1412v1_genomic	735162	2547720	.28855682
GCF_000014145.1_ASM1414v1_genomic	1722148	4433218	.38846454
GCF_000014185.1_ASM1418v1_genomic	2273397	3225748	.70476584
GCF_000014205.1_ASM1420v1_genomic	1036586	2388435	.43400218
GCF_000014225.1_ASM1422v1_genomic	2314239	5187005	.44616093
GCF_000014245.1_ASM1424v1_genomic	3015160	4935185	.61095176
GCF_000014265.1_ASM1426v1_genomic	2646147	7750108	.34143356
GCF_000014285.2_ASM1428v2_genomic	1599935	2708434	.59072327
GCF_000014345.1_ASM1434v1_genomic	360155	1159772	.31053948
GCF_000014365.2_ASM1436v2_genomic	812431	2046116	.39706008
GCF_000014385.1_ASM1438v1_genomic	674618	1780517	.37888882
GCF_000014405.1_ASM1440v1_genomic	922651	1856951	.49686340
GCF_000014425.1_ASM1442v1_genomic	667944	1894360	.35259612
GCF_000014445.1_ASM1444v1_genomic	781911	2075763	.37668606
GCF_000014465.1_ASM1446v1_genomic	1077868	2340228	.46058247
GCF_000014485.1_ASM1448v1_genomic	728315	1864178	.39068962
GCF_000014505.1_ASM1450v1_genomic	684540	1832387	.37357828
GCF_000014525.1_ASM1452v1_genomic	1362010	2924325	.46575192
GCF_000014545.1_ASM1454v1_genomic	929789	2598348	.35783851
GCF_000014565.1_ASM1456v1_genomic	6499024	9702737	.66981347
GCF_000014585.1_ASM1458v1_genomic	1367170	2606748	.52447340
GCF_000014605.1_ASM1460v1_genomic	609630	1895727	.32158111
GCF_000014625.1_ASM1462v1_genomic	4333951	6537637	.66292316
GCF_000014645.1_ASM1464v1_genomic	620283	1910031	.32475022
GCF_000014665.1_ASM1466v1_genomic	2296820	4799109	.47859300
GCF_000014685.1_ASM1468v1_genomic	2254051	4706287	.47894465
GCF_000014705.1_ASM1470v1_genomic	2014855	4845257	.41584068
GCF_000014725.1_ASM1472v1_genomic	1317351	2936195	.44865923
GCF_000014745.1_ASM1474v1_genomic	2113156	3368780	.62727634
GCF_000014765.1_ASM1476v1_genomic	1350325	2781824	.48540993
GCF_000014785.1_ASM1478v1_genomic	2212286	3275944	.67531252
GCF_000014805.1_ASM1480v1_genomic	2920132	4744448	.61548403
GCF_000014825.1_ASM1482v1_genomic	3547887	5505494	.64442664
GCF_000014845.1_ASM1484v1_genomic	2767415	5497525	.50339289
GCF_000014865.1_ASM1486v1_genomic	2556478	4719581	.54167478
GCF_000014885.1_ASM1488v1_genomic	2336231	5396476	.43291788
GCF_000014905.1_ASM1490v1_genomic	6168976	9965640	.61902456
GCF_000014925.1_ASM1492v1_genomic	3262989	5226648	.62429859
GCF_000014965.1_ASM1496v1_genomic	2991592	4990251	.59948728
GCF_000014985.1_ASM1498v1_genomic	3777437	5475491	.68988096
GCF_000015005.1_ASM1500v1_genomic	4710249	6988209	.67402806
GCF_000015025.1_ASM1502v1_genomic	1634908	2443540	.66907355
GCF_000015045.1_ASM1504v1_genomic	2480337	4241119	.58483079
GCF_000015065.1_ASM1506v1_genomic	1882605	5313030	.35433735
GCF_000015085.1_ASM1508v1_genomic	590747	1773615	.33307510
GCF_000015105.1_ASM1510v1_genomic	395054	1160782	.34033436
GCF_000015125.1_ASM1512v1_genomic	1515287	3133902	.48351448
GCF_000015165.1_ASM1516v1_genomic	5504323	8493513	.64806199
GCF_000015185.1_ASM1518v1_genomic	2101504	4708380	.44633270
GCF_000015245.1_ASM1524v1_genomic	2307506	4306142	.53586388
GCF_000015265.1_ASM1526v1_genomic	3781832	5293685	.71440442
GCF_000015285.1_ASM1528v1_genomic	1827773	4559598	.40086275
GCF_000015305.1_ASM1530v1_genomic	4401038	6491865	.67793122
GCF_000015325.1_ASM1532v1_genomic	3668378	5352772	.68532304
GCF_000015345.1_ASM1534v1_genomic	616812	1389349	.44395756
GCF_000015365.1_ASM1536v1_genomic	2720978	4779762	.56927060
GCF_000015385.1_ASM1538v1_genomic	771547	2080931	.37077010
GCF_000015405.1_ASM1540v1_genomic	4268406	6256079	.68228134
GCF_000015445.1_ASM1544v1_genomic	552557	1445021	.38238683
GCF_000015465.1_ASM1546v1_genomic	3579161	5232401	.68403797
GCF_000015485.1_ASM1548v1_genomic	2312426	3661391	.63157035
GCF_000015505.1_ASM1550v1_genomic	3309813	5366143	.61679552
GCF_000015525.1_ASM1552v1_genomic	517794	1699052	.30475465
GCF_000015545.1_ASM1554v1_genomic	3030216	4585154	.66087551
GCF_000015565.1_ASM1556v1_genomic	3652205	5597943	.65241911
GCF_000015585.1_ASM1558v1_genomic	1820858	2678452	.67981729
GCF_000015605.1_ASM1560v1_genomic	3931601	5742303	.68467320
GCF_000015625.1_ASM1562v1_genomic	4005238	5848378	.68484595
GCF_000015645.1_ASM1564v1_genomic	523034	1669886	.31321539
GCF_000015665.1_ASM1566v1_genomic	524787	1704176	.30794178
GCF_000015685.1_ASM1568v1_genomic	652270	1864731	.34979308
GCF_000015725.1_ASM1572v1_genomic	3193983	4643639	.68781897
GCF_000015745.1_ASM1574v1_genomic	1762933	3608012	.48861616
GCF_000015785.2_ASM1578v2_genomic	1821185	3918596	.46475446
GCF_000015845.1_ASM1584v1_genomic	2469963	5342896	.46228917
GCF_000015865.1_ASM1586v1_genomic	1498372	3843301	.38986589
GCF_000015885.1_ASM1588v1_genomic	939350	2274482	.41299513
GCF_000015905.1_ASM1590v1_genomic	4807832	7040403	.68289159
GCF_000015925.1_ASM1592v1_genomic	4838978	7089249	.68257977
GCF_000015965.1_ASM1596v1_genomic	514563	1641879	.31339885
