Identifier	DNA_Length	AA_Length
GCF_000007765.2_ASM776v2_genomic	2032807	2029918
GCF_000007785.1_ASM778v1_genomic	3359974	3021158
GCF_000007805.1_ASM780v1_genomic	6538260	9806775
GCF_000007825.1_ASM782v1_genomic	5427083	4863688
GCF_000007845.1_ASM784v1_genomic	5227293	4712198
GCF_000007865.1_ASM786v1_genomic	4829781	8581159
GCF_000007885.1_ASM788v1_genomic	4803217	5317386
GCF_000007905.1_ASM790v1_genomic	1799146	1677046
GCF_000007925.1_ASM792v1_genomic	1751080	1435416
GCF_000007945.1_ASM794v1_genomic	1698955	1406064
GCF_000007985.2_ASM798v2_genomic	3814128	6087098
GCF_000008005.1_ASM800v1_genomic	5432260	4910797
GCF_000008025.1_ASM802v1_genomic	1267782	1087136
GCF_000008045.1_ASM804v1_genomic	1111496	738052
GCF_000008065.1_ASM806v1_genomic	1992676	1533691
GCF_000008105.1_ASM810v1_genomic	4944000	6294538
GCF_000008125.1_ASM812v1_genomic	2127482	3726598
GCF_000008145.1_ASM814v1_genomic	3286445	5128506
GCF_000008165.1_ASM816v1_genomic	5228663	4713739
GCF_000008185.1_ASM818v1_genomic	2843201	2851091
GCF_000008205.1_ASM820v1_genomic	897405	675769
GCF_000008225.1_ASM822v1_genomic	920079	691587
GCF_000008245.1_ASM824v1_genomic	799476	535154
GCF_000008285.1_ASM828v1_genomic	2905187	2756670
GCF_000008305.1_ASM830v1_genomic	793224	540842
GCF_000008325.1_ASM832v1_genomic	3304560	5647213
GCF_000008345.1_ASM834v1_genomic	2560265	3853493
GCF_000008365.1_ASM836v1_genomic	777079	530003
GCF_000008385.1_ASM838v1_genomic	1080084	884478
GCF_000008405.1_ASM840v1_genomic	892758	675393
GCF_000008425.1_ASM842v1_genomic	4222645	5181356
GCF_000008445.1_ASM844v1_genomic	5503926	4939303
GCF_000008465.1_ASM846v1_genomic	2839318	3022530
GCF_000008485.1_ASM848v1_genomic	3397753	3030590
GCF_000008505.1_ASM850v1_genomic	5314793	4792871
GCF_000008525.1_ASM852v1_genomic	1667825	1399408
GCF_000008545.1_ASM854v1_genomic	1860725	2524593
GCF_000008565.1_ASM856v1_genomic	3284061	5513876
GCF_000008585.1_ASM858v1_genomic	4403662	7483774
GCF_000008605.1_ASM860v1_genomic	1137944	1625055
GCF_000008625.1_ASM862v1_genomic	1590791	1792669
GCF_000008685.2_ASM868v2_genomic	1521153	1142255
GCF_000008725.1_ASM872v1_genomic	1042519	1042748
GCF_000008745.1_ASM874v1_genomic	1230230	1159156
GCF_000008765.1_ASM876v1_genomic	4132880	3258008
GCF_000008785.1_ASM878v1_genomic	1643831	1383921
GCF_000008805.1_ASM880v1_genomic	2272360	3301287
GCF_000008865.2_ASM886v2_genomic	5594605	7014071
GCF_000008925.1_ASM892v1_genomic	2133977	1646140
GCF_000008945.1_ASM894v1_genomic	2389526	3811013
GCF_000008985.1_ASM898v1_genomic	1892775	1389213
GCF_000009005.1_ASM900v1_genomic	2742531	2080158
GCF_000009025.1_ASM902v1_genomic	1395502	1599383
GCF_000009045.1_ASM904v1_genomic	4215606	4724232
GCF_000009065.1_ASM906v1_genomic	4829855	5342571
GCF_000009085.1_ASM908v1_genomic	1641481	1243227
GCF_000009105.1_ASM910v1_genomic	2184406	3196898
GCF_000009125.1_ASM912v1_genomic	5810922	10189207
GCF_000009145.1_ASM914v1_genomic	2812094	3814752
GCF_000009165.1_ASM916v1_genomic	5420152	9405383
GCF_000009205.2_ASM920v2_genomic	4298133	3301107
GCF_000009225.2_ASM922v1_genomic	6722539	10514809
GCF_000009245.1_ASM924v1_genomic	1895994	1391945
GCF_000009265.1_ASM926v1_genomic	7751309	12659663
GCF_000009285.1_ASM928v2_genomic	7416678	12901351
GCF_000009305.1_ASM930v1_genomic	1557588	1302075
GCF_000009325.1_ASM932v1_genomic	1892616	1389003
GCF_000009345.1_ASM934v1_genomic	4683620	5150840
GCF_000009365.1_ASM936v1_genomic	3120143	4217929
GCF_000009385.1_ASM938v1_genomic	1841271	1561713
GCF_000009405.1_ASM940v1_genomic	2566423	2124601
GCF_000009425.1_ASM942v1_genomic	2529478	2201995
GCF_000009445.1_ASM944v1_genomic	4374522	7434737
GCF_000009465.1_ASM946v1_genomic	2194961	3201716
GCF_000009485.1_ASM948v1_genomic	8055782	14175051
GCF_000009505.1_ASM950v1_genomic	4685848	5963551
GCF_000009525.1_ASM952v1_genomic	4658697	5932852
GCF_000009545.1_ASM954v1_genomic	1852352	1553399
GCF_000009565.1_ASM956v1_genomic	4558947	5743953
GCF_000009585.1_ASM958v1_genomic	2885367	2207512
GCF_000009605.1_ASM960v1_genomic	655725	450294
GCF_000009625.1_ASM962v1_genomic	7596297	12681482
GCF_000009645.1_ASM964v1_genomic	2839469	2160638
GCF_000009665.1_ASM966v1_genomic	2903636	2214949
GCF_000009685.1_ASM968v1_genomic	3085740	2149895
GCF_000009705.1_ASM970v1_genomic	7211789	6466873
GCF_000009725.1_ASM972v1_genomic	3947019	4411689
GCF_000009745.1_ASM974v1_genomic	5260086	5923264
GCF_000009765.2_ASM976v2_genomic	9119895	16558230
GCF_000009785.1_ASM978v1_genomic	3592666	5208315
GCF_000009805.1_ASM980v1_genomic	6292344	11441411
GCF_000009825.1_ASM982v1_genomic	4303871	4984670
GCF_000009865.1_ASM986v1_genomic	2697861	1964639
GCF_000009885.1_ASM988v1_genomic	5472672	7756955
GCF_000009905.1_ASM990v1_genomic	3566135	6233499
GCF_000009925.1_ASM992v1_genomic	5310990	6142037
GCF_000009945.1_ASM994v1_genomic	1173791	1074021
GCF_000009985.1_ASM998v1_genomic	4967115	8422375
GCF_000010005.1_ASM1000v1_genomic	2039414	1766522
GCF_000010025.1_ASM1002v1_genomic	4940217	8489271
GCF_000010045.1_ASM1004v1_genomic	5727534	6722580
GCF_000010065.1_ASM1006v1_genomic	2696255	3676041
GCF_000010105.1_ASM1010v1_genomic	6895538	11717511
GCF_000010125.1_ASM1012v1_genomic	2577899	1969011
GCF_000010145.1_ASM1014v1_genomic	2098684	2378943
GCF_000010165.1_ASM1016v1_genomic	6296436	8084375
GCF_000010185.1_ASM1018v1_genomic	1986740	1768109
GCF_000010205.1_ASM1020v1_genomic	2008987	1389502
GCF_000010225.1_ASM1022v1_genomic	3363294	4686926
GCF_000010245.2_ASM1024v1_genomic	4646332	5851812
GCF_000010265.1_ASM1026v1_genomic	3955303	3319602
GCF_000010285.1_ASM1028v1_genomic	2697540	4877472
GCF_000010305.1_ASM1030v1_genomic	4636964	8060665
GCF_000010325.1_ASM1032v1_genomic	1877931	2165884
GCF_000010345.1_ASM1034v1_genomic	2562277	3079096
GCF_000010365.1_ASM1036v1_genomic	159662	100356
GCF_000010385.1_ASM1038v1_genomic	5155626	6498920
GCF_000010405.1_ASM1040v1_genomic	1022154	729457
GCF_000010425.1_ASM1042v1_genomic	2089644	3398234
GCF_000010445.1_ASM1044v1_genomic	2880168	2198107
GCF_000010465.1_ASM1046v1_genomic	2878897	2205127
GCF_000010485.1_ASM1048v1_genomic	4839683	6096339
GCF_000010505.1_ASM1050v1_genomic	2354886	3164912
GCF_000010525.1_ASM1052v1_genomic	5369772	9344651
GCF_000010545.1_ASM1054v1_genomic	7008810	12318111
GCF_000010585.1_ASM1058v1_genomic	2219737	1943557
GCF_000010605.1_ASM1060v1_genomic	8545929	15664665
GCF_000010625.1_ASM1062v1_genomic	5842795	5347464
GCF_000010665.1_ASM1066v1_genomic	5315620	8837098
GCF_000010685.1_ASM1068v1_genomic	4371711	7431566
GCF_000010705.1_ASM1070v1_genomic	2106340	1851872
GCF_000010725.1_ASM1072v1_genomic	7599738	13308096
GCF_000010745.1_ASM1074v1_genomic	5524860	6964700
GCF_000010765.1_ASM1076v1_genomic	5766081	7228198
GCF_000010785.1_ASM1078v1_genomic	1743135	1931542
GCF_000010805.1_ASM1080v1_genomic	8834939	15766550
GCF_000010825.1_ASM1082v1_genomic	3340249	4786416
GCF_000010845.1_ASM1084v1_genomic	3339669	4785683
GCF_000010865.1_ASM1086v1_genomic	3338426	4783846
GCF_000010885.1_ASM1088v1_genomic	3339649	4785686
GCF_000010905.1_ASM1090v1_genomic	3339683	4785703
GCF_000010925.1_ASM1092v1_genomic	3337040	4781826
GCF_000010945.1_ASM1094v1_genomic	3247995	4661769
GCF_000010965.1_ASM1096v1_genomic	3336990	4781726
GCF_000010985.1_ASM1098v1_genomic	2542933	2033672
GCF_000011025.1_ASM1102v1_genomic	2264603	3315737
GCF_000011045.1_ASM1104v1_genomic	3005051	3255943
GCF_000011065.1_ASM1106v1_genomic	6293399	7193698
GCF_000011145.1_ASM1114v1_genomic	4202352	4463902
GCF_000011165.1_ASM1116v1_genomic	1226564	1156006
GCF_000011225.1_ASM1122v1_genomic	1358633	873592
GCF_000011245.1_ASM1124v1_genomic	3630528	3146878
GCF_000011265.1_ASM1126v1_genomic	2820462	2150952
GCF_000011285.1_ASM1128v1_genomic	1894275	1610796
GCF_000011305.1_ASM1130v1_genomic	3219505	5151774
GCF_000011325.1_ASM1132v1_genomic	3309401	4564611
GCF_000011345.1_ASM1134v1_genomic	2593857	3407980
GCF_000011365.1_ASM1136v1_genomic	9105828	15315758
GCF_000011385.1_ASM1138v1_genomic	4659019	7742377
GCF_000011405.1_ASM1140v1_genomic	1895727	1391697
GCF_000011465.1_ASM1146v1_genomic	1657990	1221942
GCF_000011485.1_ASM1148v1_genomic	2410872	2927960
GCF_000011505.1_ASM1150v1_genomic	2902619	2210486
GCF_000011525.1_ASM1152v1_genomic	2820454	2150579
GCF_000011545.1_ASM1154v1_genomic	7247547	12905628
GCF_000011565.2_ASM1156v2_genomic	2438912	1924590
GCF_000011605.1_ASM1160v1_genomic	5064019	6273340
GCF_000011625.1_ASM1162v1_genomic	5843235	5192327
GCF_000011645.1_ASM1164v1_genomic	4222597	5181141
GCF_000011665.1_ASM1166v1_genomic	1899877	1620788
GCF_000011685.1_ASM1168v1_genomic	2922384	4722635
GCF_000011705.1_ASM1170v1_genomic	5835527	10446695
GCF_000011725.1_ASM1172v1_genomic	1589954	1331187
GCF_000011745.1_ASM1174v1_genomic	791654	542762
GCF_000011765.3_ASM1176v2_genomic	1838562	1561639
GCF_000011785.1_ASM1178v1_genomic	2012878	1776047
GCF_000011805.1_ASM1180v1_genomic	4273718	3580361
GCF_000011825.1_ASM1182v1_genomic	1796846	1637723
GCF_000011845.1_ASM1184v1_genomic	1796226	1636959
GCF_000011865.1_ASM1186v1_genomic	1777831	1340173
GCF_000011885.1_ASM1188v1_genomic	4585229	5836407
GCF_000011905.1_ASM1190v1_genomic	1469720	1740561
GCF_000011925.1_ASM1192v1_genomic	2643840	1908589
GCF_000011945.1_ASM1194v1_genomic	1197687	1494066
GCF_000011965.2_ASM1196v2_genomic	4601048	7742003
GCF_000011985.1_ASM1198v1_genomic	1993560	1572294
GCF_000012005.1_ASM1200v1_genomic	4560911	5723322
GCF_000012025.1_ASM1202v1_genomic	4646520	5895843
GCF_000012045.1_ASM1204v1_genomic	2813862	2141817
GCF_000012085.2_ASM1208v2_genomic	1165365	904809
GCF_000012105.1_ASM1210v1_genomic	5148708	8911427
GCF_000012125.1_ASM1212v1_genomic	1051969	1050595
GCF_000012165.2_ASM1216v2_genomic	1897578	1606950
GCF_000012185.1_ASM1218v1_genomic	1914490	1740749
GCF_000012205.1_ASM1220v1_genomic	6112448	9127851
GCF_000012225.1_ASM1222v1_genomic	723970	497965
GCF_000012245.1_ASM1224v1_genomic	6093698	9336553
GCF_000012265.1_ASM1226v1_genomic	7074893	11630441
GCF_000012305.1_ASM1230v1_genomic	2650701	2456584
GCF_000012325.1_ASM1232v1_genomic	5373180	4192827
GCF_000012345.1_ASM1234v1_genomic	1308759	969044
GCF_000012365.1_ASM1236v1_genomic	6723972	11943710
GCF_000012385.1_ASM1238v1_genomic	1522076	1120304
GCF_000012405.1_ASM1240v1_genomic	3642249	6394574
GCF_000012425.1_ASM1242v1_genomic	4501104	7107505
GCF_000012445.1_ASM1244v1_genomic	6438405	10226689
GCF_000012465.1_ASM1246v1_genomic	1842899	1466070
GCF_000012485.1_ASM1248v1_genomic	2364842	3610809
GCF_000012505.1_ASM1250v1_genomic	2234828	3158640
GCF_000012525.1_ASM1252v1_genomic	2742269	3730469
GCF_000012565.1_ASM1256v1_genomic	1315030	900329
GCF_000012585.1_ASM1258v1_genomic	2572079	2863159
GCF_000012605.1_ASM1260v1_genomic	2427734	2486525
GCF_000012625.1_ASM1262v1_genomic	2510659	3844048
GCF_000012645.1_ASM1264v1_genomic	1709204	1282443
GCF_000012665.1_ASM1266v1_genomic	3730232	5925068
GCF_000012685.1_ASM1268v1_genomic	9139763	16362842
GCF_000012705.1_ASM1270v1_genomic	2127839	1694345
GCF_000012725.1_ASM1272v1_genomic	3402093	5538157
GCF_000012745.1_ASM1274v1_genomic	2909809	5027559
GCF_000012765.1_ASM1276v1_genomic	1010023	594562
GCF_000012785.1_ASM1278v1_genomic	7308054	12994629
GCF_000012805.1_ASM1280v1_genomic	3522111	4184038
GCF_000012825.1_ASM1282v1_genomic	5163189	5844556
GCF_000012845.1_ASM1284v1_genomic	4811379	5533867
GCF_000012865.1_ASM1286v1_genomic	2401519	2453117
GCF_000012885.1_ASM1288v1_genomic	3665893	5547719
GCF_000012925.1_ASM1292v1_genomic	4011182	6317349
GCF_000012945.1_ASM1294v1_genomic	8676277	15217373
GCF_000012965.1_ASM1296v1_genomic	2201561	1830442
GCF_000012985.1_ASM1298v1_genomic	7215267	9760265
GCF_000013005.1_ASM1300v1_genomic	3052398	5203135
GCF_000013045.1_ASM1304v1_genomic	3587328	6293397
GCF_000013065.1_ASM1306v1_genomic	5506207	4963490
GCF_000013085.1_ASM1308v1_genomic	4406557	7464715
GCF_000013105.1_ASM1310v1_genomic	2628784	3575212
GCF_000013125.1_ASM1312v1_genomic	1471282	1409744
GCF_000013145.1_ASM1314v1_genomic	1176248	842759
GCF_000013165.1_ASM1316v1_genomic	859006	880894
GCF_000013205.1_ASM1320v1_genomic	2932766	4667530
GCF_000013225.1_ASM1322v1_genomic	3046680	4766038
GCF_000013245.1_ASM1324v1_genomic	1605736	1351585
GCF_000013265.1_ASM1326v1_genomic	5179971	6509313
GCF_000013285.1_ASM1328v1_genomic	3256683	2262324
GCF_000013305.1_ASM1330v1_genomic	4938920	6188071
GCF_000013325.1_ASM1332v1_genomic	4233314	7349836
GCF_000013345.1_ASM1334v1_genomic	5433628	9753102
GCF_000013365.1_ASM1336v1_genomic	5331656	9204265
GCF_000013385.1_ASM1338v1_genomic	5013479	9406212
GCF_000013405.1_ASM1340v1_genomic	3179300	4431797
GCF_000013425.1_ASM1342v1_genomic	2821360	2153381
GCF_000013465.1_ASM1346v1_genomic	2917469	2218151
GCF_000013485.1_ASM1348v1_genomic	1836467	1560125
GCF_000013505.1_ASM1350v1_genomic	1928252	1634030
GCF_000013545.1_ASM1354v1_genomic	1937111	1642096
GCF_000013565.1_ASM1356v1_genomic	4404049	7159567
GCF_000013585.1_ASM1358v1_genomic	4574284	5765934
GCF_000013605.1_ASM1360v1_genomic	4969784	7768242
GCF_000013625.1_ASM1362v1_genomic	4110251	5980141
GCF_000013645.1_ASM1364v1_genomic	9731138	16238880
GCF_000013665.1_ASM1366v1_genomic	5057531	5207544
GCF_000013705.1_ASM1370v1_genomic	2971517	4364938
GCF_000013745.1_ASM1374v1_genomic	5513844	9412541
GCF_000013765.1_ASM1376v1_genomic	4545906	4171611
GCF_000013785.1_ASM1378v1_genomic	4567418	7603682
GCF_000013805.1_ASM1380v1_genomic	4646286	5136647
GCF_000013825.1_ASM1382v1_genomic	4879836	5409595
GCF_000013865.1_ASM1386v1_genomic	5898676	9575706
GCF_000013885.1_ASM1388v1_genomic	5011522	8167845
GCF_000013905.1_ASM1390v1_genomic	3101097	2808193
GCF_000013925.1_ASM1392v2_genomic	5805761	9838696
GCF_000013985.1_ASM1398v1_genomic	3373713	5841997
GCF_000014005.1_ASM1400v1_genomic	5650368	8990406
GCF_000014025.1_ASM1402v1_genomic	2341251	1771996
GCF_000014045.1_ASM1404v1_genomic	4331234	6761639
GCF_000014065.1_ASM1406v1_genomic	4153699	6593915
GCF_000014085.1_ASM1408v1_genomic	7279116	12824033
GCF_000014105.1_ASM1410v1_genomic	2153416	3143550
GCF_000014125.1_ASM1412v1_genomic	2547720	1933046
GCF_000014145.1_ASM1414v1_genomic	4433218	4438656
GCF_000014185.1_ASM1418v1_genomic	3225748	5709015
GCF_000014205.1_ASM1420v1_genomic	2388435	2481024
GCF_000014225.1_ASM1422v1_genomic	5187005	4993438
GCF_000014245.1_ASM1424v1_genomic	4935185	8029845
GCF_000014265.1_ASM1426v1_genomic	7750108	5574764
GCF_000014285.2_ASM1428v2_genomic	2708434	4234939
GCF_000014345.1_ASM1434v1_genomic	1159772	819057
GCF_000014365.2_ASM1436v2_genomic	2046116	1955380
GCF_000014385.1_ASM1438v1_genomic	1780517	1728231
GCF_000014405.1_ASM1440v1_genomic	1856951	2242398
GCF_000014425.1_ASM1442v1_genomic	1894360	1472726
GCF_000014445.1_ASM1444v1_genomic	2075763	1811194
GCF_000014465.1_ASM1446v1_genomic	2340228	2299846
GCF_000014485.1_ASM1448v1_genomic	1864178	1702460
GCF_000014505.1_ASM1450v1_genomic	1832387	1513759
GCF_000014525.1_ASM1452v1_genomic	2924325	3195131
GCF_000014545.1_ASM1454v1_genomic	2598348	2246775
GCF_000014565.1_ASM1456v1_genomic	9702737	17208032
GCF_000014585.1_ASM1458v1_genomic	2606748	3446711
GCF_000014605.1_ASM1460v1_genomic	1895727	1391697
GCF_000014625.1_ASM1462v1_genomic	6537637	11337401
GCF_000014645.1_ASM1464v1_genomic	1910031	1411697
GCF_000014665.1_ASM1466v1_genomic	4799109	5010795
GCF_000014685.1_ASM1468v1_genomic	4706287	4907652
GCF_000014705.1_ASM1470v1_genomic	4845257	4181204
GCF_000014725.1_ASM1472v1_genomic	2936195	3246977
GCF_000014745.1_ASM1474v1_genomic	3368780	5531633
GCF_000014765.1_ASM1476v1_genomic	2781824	3488727
GCF_000014785.1_ASM1478v1_genomic	3275944	5616013
GCF_000014805.1_ASM1480v1_genomic	4744448	7453932
GCF_000014825.1_ASM1482v1_genomic	5505494	9331665
GCF_000014845.1_ASM1484v1_genomic	5497525	6855598
GCF_000014865.1_ASM1486v1_genomic	4719581	6344759
GCF_000014885.1_ASM1488v1_genomic	5396476	4845918
GCF_000014905.1_ASM1490v1_genomic	9965640	16395730
GCF_000014925.1_ASM1492v1_genomic	5226648	8566027
GCF_000014965.1_ASM1496v1_genomic	4990251	8234053
GCF_000014985.1_ASM1498v1_genomic	5475491	9695994
GCF_000015005.1_ASM1500v1_genomic	6988209	12316881
GCF_000015025.1_ASM1502v1_genomic	2443540	4307331
GCF_000015045.1_ASM1504v1_genomic	4241119	6561378
GCF_000015065.1_ASM1506v1_genomic	5313030	4785648
GCF_000015085.1_ASM1508v1_genomic	1773615	1417087
GCF_000015105.1_ASM1510v1_genomic	1160782	891724
GCF_000015125.1_ASM1512v1_genomic	3133902	4131983
GCF_000015165.1_ASM1516v1_genomic	8493513	14381683
GCF_000015185.1_ASM1518v1_genomic	4708380	4515008
GCF_000015245.1_ASM1524v1_genomic	4306142	5837997
GCF_000015265.1_ASM1526v1_genomic	5293685	9641169
GCF_000015285.1_ASM1528v1_genomic	4559598	3994197
GCF_000015305.1_ASM1530v1_genomic	6491865	11415202
GCF_000015325.1_ASM1532v1_genomic	5352772	9617873
GCF_000015345.1_ASM1534v1_genomic	1389349	1555295
GCF_000015365.1_ASM1536v1_genomic	4779762	7070715
GCF_000015385.1_ASM1538v1_genomic	2080931	1702631
GCF_000015405.1_ASM1540v1_genomic	6256079	11040229
GCF_000015445.1_ASM1544v1_genomic	1445021	1357467
GCF_000015465.1_ASM1546v1_genomic	5232401	9357572
GCF_000015485.1_ASM1548v1_genomic	3661391	6193511
GCF_000015505.1_ASM1550v1_genomic	5366143	8684613
GCF_000015525.1_ASM1552v1_genomic	1699052	1287636
GCF_000015545.1_ASM1554v1_genomic	4585154	7941861
GCF_000015565.1_ASM1556v1_genomic	5597943	9757708
GCF_000015585.1_ASM1558v1_genomic	2678452	4640169
GCF_000015605.1_ASM1560v1_genomic	5742303	10278612
GCF_000015625.1_ASM1562v1_genomic	5848378	10470435
GCF_000015645.1_ASM1564v1_genomic	1669886	1262676
GCF_000015665.1_ASM1566v1_genomic	1704176	1259968
GCF_000015685.1_ASM1568v1_genomic	1864731	1483679
GCF_000015725.1_ASM1572v1_genomic	4643639	8222913
GCF_000015745.1_ASM1574v1_genomic	3608012	4764519
GCF_000015785.2_ASM1578v2_genomic	3918596	4695260
GCF_000015845.1_ASM1584v1_genomic	5342896	5283561
GCF_000015865.1_ASM1586v1_genomic	3843301	4192449
GCF_000015885.1_ASM1588v1_genomic	2274482	2195506
GCF_000015905.1_ASM1590v1_genomic	7040403	12574614
GCF_000015925.1_ASM1592v1_genomic	7089249	12658605
GCF_000015965.1_ASM1596v1_genomic	1641879	1240921
GCF_000015985.1_ASM1598v1_genomic	4489380	7966436
GCF_000016045.1_ASM1604v1_genomic	5007719	6392238
GCF_000016065.1_ASM1606v1_genomic	4602594	5542747
GCF_000016085.1_ASM1608v1_genomic	1966858	2780547
GCF_000016105.1_ASM1610v1_genomic	1898476	1395085
GCF_000016145.1_ASM1614v1_genomic	4419977	7510581
GCF_000016165.1_ASM1616v1_genomic	3608104	3649601
GCF_000016185.1_ASM1618v1_genomic	4355543	7821927
GCF_000016245.1_ASM1624v1_genomic	4132319	4642080
GCF_000016265.1_ASM1626v1_genomic	7273300	11641379
GCF_000016285.1_ASM1628v1_genomic	6320946	9745040
GCF_000016305.1_ASM1630v1_genomic	5694894	8044610
GCF_000016325.1_ASM1632v1_genomic	4676461	6160821
GCF_000016345.1_ASM1634v1_genomic	2159490	2150071
GCF_000016365.1_ASM1636v1_genomic	5982829	10511805
GCF_000016425.1_ASM1642v1_genomic	5183331	9221481
GCF_000016445.1_ASM1644v1_genomic	4725862	5237066
GCF_000016505.1_ASM1650v1_genomic	4023800	3379573
GCF_000016545.1_ASM1654v1_genomic	2970275	2886471
GCF_000016565.1_ASM1656v1_genomic	5072807	8483099
GCF_000016585.1_ASM1658v1_genomic	4659220	4437039
GCF_000016625.1_ASM1662v1_genomic	1376184	1029100
GCF_000016645.1_ASM1664v1_genomic	6096872	5356801
GCF_000016665.1_ASM1666v1_genomic	5801598	9313561
GCF_000016685.1_ASM1668v1_genomic	2242058	2161752
GCF_000016705.1_ASM1670v1_genomic	1341892	1544959
GCF_000016725.1_ASM1672v1_genomic	3963080	6877028
GCF_000016745.1_ASM1674v1_genomic	5136364	7394804
GCF_000016765.1_ASM1676v1_genomic	5915246	10356739
GCF_000016785.1_ASM1678v1_genomic	1823511	2468210
GCF_000016805.1_ASM1680v1_genomic	2937129	2243260
GCF_000016825.1_ASM1682v1_genomic	1999618	1732123
GCF_000016845.1_ASM1684v1_genomic	3275590	5111101
GCF_000016865.1_ASM1686v1_genomic	5959964	9616938
GCF_000016885.1_ASM1688v1_genomic	2995049	2733067
GCF_000016905.1_ASM1690v1_genomic	1915238	1756688
GCF_000016925.1_ASM1692v1_genomic	4424435	7517393
GCF_000016945.1_ASM1694v1_genomic	4935121	5384389
GCF_000016965.1_ASM1696v1_genomic	6000632	4440863
GCF_000016985.1_ASM1698v1_genomic	4929566	4244691
GCF_000017005.1_ASM1700v1_genomic	2196662	2093828
GCF_000017025.1_ASM1702v1_genomic	3863450	2785832
GCF_000017045.1_ASM1704v1_genomic	3760560	2708877
GCF_000017065.1_ASM1706v1_genomic	4012908	2904016
GCF_000017085.1_ASM1708v1_genomic	2903080	2208324
GCF_000017105.1_ASM1710v1_genomic	2212937	2200323
GCF_000017125.1_ASM1712v1_genomic	2936936	2242967
GCF_000017145.1_ASM1714v1_genomic	6817576	11186835
GCF_000017205.1_ASM1720v1_genomic	6588339	11418228
GCF_000017265.1_ASM1726v1_genomic	4379231	7819601
GCF_000017285.1_ASM1728v1_genomic	5100344	4953575
GCF_000017305.1_ASM1730v1_genomic	4956672	9188304
GCF_000017325.1_ASM1732v1_genomic	5312910	5244596
GCF_000017405.1_ASM1740v1_genomic	5205777	7917191
GCF_000017425.1_ASM1742v1_genomic	4094159	3829611
GCF_000017445.4_ASM1744v3_genomic	1268201	943960
GCF_000017465.2_ASM1746v2_genomic	1971270	2035720
GCF_000017505.1_ASM1750v1_genomic	5277990	9851233
GCF_000017545.1_ASM1754v1_genomic	1948941	1859326
GCF_000017565.1_ASM1756v1_genomic	3914745	6553634
GCF_000017585.1_ASM1758v1_genomic	1714950	1494574
GCF_000017605.1_ASM1760v1_genomic	3956089	4457418
GCF_000017665.1_ASM1766v1_genomic	4530777	6356247
GCF_000017685.1_ASM1768v1_genomic	3951448	4453728
