Identifier	GC	ATGC	Percentage
GCF_001865345.1_ASM186534v1_genomic	484979	1394093	.34788138
GCF_002087225.1_Tth_v3_genomic	1366605	3088203	.44252434
GCF_002095265.1_B_xinjiang1.0_genomic	1304656	2920725	.44668909
GCF_002157705.1_Pgonderi_assembly01_genomic	578591	1610351	.35929496
GCF_002563875.1_Bbes1.0_genomic	454783	818142	.55587294
GCF_002897235.1_Bovata_7.1_genomic	1027013	2028702	.50624142
GCF_002999335.1_CcayRef3_genomic	1727810	3378595	.51139896
GCF_003719475.1_ASM371947v1_genomic	1697825	3258526	.52104080
GCF_003719485.1_ASM371948v1_genomic	1016493	1773918	.57302141
GCF_900000015.1_Plasmopara_halstedii_genome_genomic	4511535	10164012	.44387344
GCF_900002335.2_PCHAS01_genomic	2185977	6941922	.31489506
GCF_900002375.2_GCA_900002375_genomic	646705	2167892	.29831052
GCF_900002385.2_GCA_900002385_genomic	1038734	3535174	.29382825
GCF_900005765.1_PRELSG_genomic	208425	794732	.26225822
GCF_900005855.1_PGAL8A_genomic	2441995	9311687	.26225054
GCF_900090045.1_PmUG01_genomic	2639492	7931168	.33279991
GCF_900097015.1_PADLG01_genomic	298840	1022971	.29212949
GCF_900681995.1_PVVCY_v1_genomic	246948	798171	.30939234
